ee_s_x,ee_s_y,ee_s_z,ee_s_qx,ee_s_qy,ee_s_qz,ee_s_qw,ee_twist_x,ee_twist_y,ee_twist_z,ee_twist_qx,ee_twist_qy,ee_twist_qz,elbow_s_x,elbow_s_y,elbow_s_z,elbow_s_qx,elbow_s_qy,elbow_s_qz,elbow_s_qw,arm_base_s_x,arm_base_s_y,arm_base_s_z,arm_base_s_qx,arm_base_s_qy,arm_base_s_qz,arm_base_s_qw,ee_f_e_x, ee_f_e_y, ee_f_e_z, ee_f_e_qx, ee_f_e_qy, ee_f_e_qz,ee_beta_x,ee_beta_y,ee_beta_z,ee_beta_qx,ee_beta_qy,ee_beta_qz,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,ee_f_c_x,ee_f_c_y,ee_f_c_z,ee_f_c_qx,ee_f_c_qy,ee_f_c_qz,elbow_f_c_x,elbow_f_c_y,elbow_f_c_z,elbow_f_c_qx,elbow_f_c_qy,elbow_f_c_qz
0.527132,-0.129721,0.801643,0.545721,0.495222,-0.461261,-0.494148,-0.0381535,-0.0164147,0.119483,-0.148885,-0.144231,-0.0407926,0.42729,0.172277,0.679261,0.0261598,0.980691,-0.172296,-0.0887377,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,-0.00830614,0,0,0,0,15.4828,3.22347,7.3919,-1.64263,-1.56879,-2.05841,0.361586,0,0,-10,0,0,0,0,0,4.14781,0,0,0,
0.527059,-0.129752,0.80188,0.545878,0.495202,-0.461239,-0.494015,-0.0374699,-0.0153844,0.119929,-0.151522,-0.141407,-0.0393496,0.427281,0.172218,0.67938,0.026254,0.980674,-0.172431,-0.0886395,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,1.8447,-17.3784,12.9057,12.2163,10.9844,-15.0835,-15.2338,-9.70287,-6.56031,0.35581,1.41669,0.983932,0,0,-10,0,0,0,0,0,4.124,0,0,0,
0.527021,-0.129792,0.801899,0.545911,0.49518,-0.461226,-0.494012,-0.037843,-0.0158966,0.119899,-0.152854,-0.136671,-0.0415338,0.427271,0.17218,0.679384,0.0263006,0.980669,-0.172448,-0.0886477,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,2.24807,-1.3265,1.74419,1.05613,7.38663,13.3282,-3.506,7.06067,-2.55116,-1.69634,-0.331709,0.0581633,0,0,-10,0,0,0,0,0,4.12325,0,0,0,
0.526983,-0.129806,0.802024,0.545994,0.495169,-0.461216,-0.493942,-0.0382877,-0.016574,0.119169,-0.15275,-0.136089,-0.0425842,0.427266,0.17215,0.679447,0.0263491,0.98066,-0.17252,-0.0885955,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,0.852358,-8.8167,6.59693,6.02942,4.24013,-0.0884278,-6.37426,-1.26291,-3.9669,-0.543977,-0.610921,0.679712,0,0,-10,0,0,0,0,0,4.11061,0,0,0,
0.526945,-0.129823,0.802141,0.546072,0.495154,-0.461207,-0.493878,-0.0385531,-0.0172665,0.117714,-0.151269,-0.134361,-0.0440821,0.427261,0.172119,0.679505,0.0263974,0.98065,-0.17259,-0.0885488,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,0.875079,-7.43709,5.69929,4.96018,5.33417,2.38128,-4.80891,0.0566176,-3.81052,-0.812782,-0.454831,0.57434,0,0,-10,0,0,0,0,0,4.09901,0,0,0,
0.526863,-0.129864,0.802372,0.546232,0.495126,-0.461182,-0.493753,-0.0404926,-0.0197388,0.116923,-0.150306,-0.135855,-0.0480784,0.42725,0.172051,0.67962,0.026501,0.980632,-0.172724,-0.0884567,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,2.13978,-13.5895,10.2933,9.35836,12.0609,-8.37839,-12.5219,-5.76232,-5.82386,-0.263122,1.41728,0.726717,0,0,-10,0,0,0,0,0,4.07592,0,0,0,
0.526825,-0.129882,0.802489,0.546311,0.495113,-0.461171,-0.493689,-0.0398483,-0.0201681,0.111958,-0.143478,-0.130843,-0.0482245,0.427245,0.172019,0.679679,0.02655,0.980623,-0.172792,-0.088409,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,1.61539,-6.70045,5.01274,4.58737,3.94089,3.60918,-7.36283,1.43878,-3.33655,-0.806181,-0.805131,0.534131,0,0,-10,0,0,0,0,0,4.06411,0,0,0,
0.526756,-0.129921,0.802675,0.546439,0.495094,-0.461148,-0.493587,-0.0351157,-0.0198412,0.0890589,-0.109833,-0.110499,-0.0417283,0.427234,0.17196,0.679773,0.0266354,0.980609,-0.172897,-0.088335,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,2.66219,-11.0011,8.15477,7.82771,9.93334,-3.86632,-12.8414,-2.57676,-4.89061,-0.46731,0.807851,0.631184,0,0,-10,0,0,0,0,0,4.04537,0,0,0,
0.526723,-0.129942,0.802753,0.546494,0.495087,-0.461137,-0.493544,-0.032786,-0.0191532,0.0793155,-0.0970947,-0.100704,-0.0365101,0.427228,0.17193,0.679813,0.026676,0.980603,-0.172939,-0.0883042,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,1.70168,-4.47055,3.21648,3.33475,3.34024,7.56348,-5.819,3.86198,-2.76497,-1.04882,-1.04559,0.448192,0,0,-10,0,0,0,0,0,4.0374,0,0,0,
0.526668,-0.129976,0.802892,0.546589,0.495078,-0.461118,-0.493466,-0.0290327,-0.0179495,0.065231,-0.0788926,-0.0864154,-0.0305784,0.427219,0.171881,0.679884,0.026743,0.980593,-0.173014,-0.0882489,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,2.28737,-8.28859,5.92335,6.20333,7.54123,0.901827,-9.84532,0.144255,-4.05052,-0.697907,0.137075,0.58233,0,0,-10,0,0,0,0,0,4.02319,0,0,0,
