dist_sp,kl_bl_base_dist,kr_bl_base_dist,kl_bl_base_f_mag,kr_bl_base_f_mag,kl_bl_base_f_dir_x,kl_bl_base_f_dir_y,kl_bl_base_f_dir_z,kr_bl_base_f_dir_x,kr_bl_base_f_dir_y,kr_bl_base_f_dir_z,kl_bl_base_f_at_base_x,kl_bl_base_f_at_base_y,kl_bl_base_f_at_base_mz,kr_bl_base_f_at_base_x,kr_bl_base_f_at_base_y,kr_bl_base_f_at_base_mz
0.7,0.672923,1.03308,-20.3109,249.846,5.99203,-2.62116,0,-182.277,57.313,0,-18.3922,8.45829,-0.043599,167.527,-184.572,46.4271,
0.7,0.672885,1.03308,-20.5454,249.899,6.06064,-2.65203,0,-182.31,57.3307,0,-18.6034,8.55725,-0.044422,167.555,-184.619,46.4376,
0.7,0.672864,1.03308,-20.6853,249.754,6.10161,-2.67042,0,-182.201,57.3001,0,-18.7295,8.61631,-0.0449122,167.454,-184.515,46.411,
0.7,0.672844,1.03308,-20.7753,249.686,6.12785,-2.6824,0,-182.148,57.2872,0,-18.8104,8.65449,-0.0452799,167.404,-184.468,46.3986,
0.7,0.672803,1.03308,-20.9336,249.679,6.17393,-2.70353,0,-182.138,57.2907,0,-18.9526,8.72195,-0.045987,167.393,-184.469,46.398,
0.7,0.67278,1.03308,-21.0182,249.608,6.19855,-2.71479,0,-182.083,57.2769,0,-19.0285,8.75812,-0.0463908,167.342,-184.42,46.385,
0.7,0.672759,1.03308,-21.0559,249.597,6.20933,-2.72008,0,-182.072,57.2771,0,-19.062,8.77465,-0.0466734,167.33,-184.415,46.3833,
0.7,0.672719,1.03308,-21.169,249.641,6.24209,-2.73536,0,-182.099,57.2917,0,-19.1632,8.82346,-0.0473183,167.353,-184.454,46.392,
0.7,0.672685,1.03308,-21.2113,249.638,6.25407,-2.74151,0,-182.091,57.296,0,-19.2005,8.84266,-0.047774,167.345,-184.457,46.3919,
0.7,0.67267,1.03308,-21.1839,249.675,6.24577,-2.73831,0,-182.117,57.3074,0,-19.1752,8.83197,-0.0478822,167.368,-184.487,46.3991,
0.7,0.672643,1.03308,-21.2199,249.773,6.25597,-2.74373,0,-182.183,57.3352,0,-19.207,8.8484,-0.0482834,167.43,-184.562,46.4175,
0.7,0.672631,1.03308,-21.1918,249.801,6.24747,-2.74055,0,-182.203,57.3446,0,-19.1812,8.83734,-0.0483639,167.448,-184.584,46.423,
0.7,0.672609,1.03308,-21.2265,249.884,6.2573,-2.74587,0,-182.261,57.3664,0,-19.212,8.85301,-0.0487099,167.502,-184.646,46.4383,
0.7,0.672599,1.03308,-21.1711,249.925,6.24079,-2.73916,0,-182.288,57.3815,0,-19.1615,8.83051,-0.048715,167.529,-184.677,46.446,
0.7,0.67259,1.03308,-21.1328,250.026,6.22931,-2.73471,0,-182.361,57.4074,0,-19.1266,8.81504,-0.0487361,167.597,-184.752,46.4649,
0.7,0.672583,1.03308,-21.0977,250.109,6.21878,-2.73058,0,-182.42,57.4288,0,-19.0946,8.80083,-0.048753,167.653,-184.813,46.4803,
0.7,0.672569,1.03308,-21.1136,250.19,6.22321,-2.73334,0,-182.478,57.4501,0,-19.1086,8.80821,-0.0489539,167.707,-184.873,46.4953,
0.7,0.672564,1.03308,-21.0676,250.227,6.20953,-2.72766,0,-182.503,57.4612,0,-19.0668,8.78928,-0.0489083,167.732,-184.9,46.5021,
0.7,0.672559,1.03308,-21.0169,250.331,6.19447,-2.72137,0,-182.576,57.491,0,-19.0208,8.76838,-0.0488438,167.802,-184.976,46.5213,
0.7,0.672555,1.03308,-20.9816,250.421,6.18397,-2.71704,0,-182.639,57.5147,0,-18.9888,8.75384,-0.0488052,167.863,-185.042,46.538,
0.7,0.672548,1.03308,-20.9608,250.522,6.17751,-2.7149,0,-182.71,57.5442,0,-18.9697,8.74546,-0.0488322,167.932,-185.117,46.5569,
0.7,0.672545,1.03308,-20.9295,250.588,6.16815,-2.71106,0,-182.756,57.563,0,-18.9412,8.7325,-0.048785,167.976,-185.165,46.569,
0.7,0.672543,1.03308,-20.9008,250.657,6.15955,-2.70756,0,-182.806,57.5824,0,-18.9152,8.72062,-0.0487371,168.023,-185.216,46.5819,
0.7,0.672542,1.03308,-20.8754,250.724,6.15193,-2.70444,0,-182.854,57.6015,0,-18.8922,8.71005,-0.0486879,168.068,-185.264,46.5942,
0.7,0.672541,1.03308,-20.8576,250.792,6.14634,-2.70246,0,-182.902,57.6243,0,-18.8759,8.70257,-0.0486497,168.115,-185.313,46.6068,
0.7,0.672542,1.03308,-20.8322,250.863,6.13871,-2.69926,0,-182.953,57.6444,0,-18.853,8.69193,-0.0485795,168.163,-185.365,46.6199,
0.7,0.672543,1.03308,-20.8099,250.922,6.13194,-2.69646,0,-182.996,57.6616,0,-18.8327,8.68249,-0.0485093,168.204,-185.408,46.6308,
0.7,0.672544,1.03308,-20.7889,250.986,6.12556,-2.694,0,-183.042,57.6797,0,-18.8138,8.67362,-0.0484359,168.248,-185.455,46.6426,
0.7,0.672548,1.03307,-20.7768,251.048,6.12173,-2.69246,0,-183.086,57.7012,0,-18.8029,8.6683,-0.0483536,168.293,-185.498,46.654,
0.7,0.672549,1.03307,-20.768,251.104,6.11896,-2.69136,0,-183.126,57.7174,0,-18.7949,8.66446,-0.0483051,168.332,-185.537,46.6642,
0.7,0.672553,1.03307,-20.7532,251.153,6.11436,-2.68914,0,-183.162,57.732,0,-18.7815,8.65794,-0.0482065,168.367,-185.571,46.6731,
