ee_s_x,ee_s_y,ee_s_z,ee_s_qx,ee_s_qy,ee_s_qz,ee_s_qw,ee_twist_x,ee_twist_y,ee_twist_z,ee_twist_qx,ee_twist_qy,ee_twist_qz,elbow_s_x,elbow_s_y,elbow_s_z,elbow_s_qx,elbow_s_qy,elbow_s_qz,elbow_s_qw,arm_base_s_x,arm_base_s_y,arm_base_s_z,arm_base_s_qx,arm_base_s_qy,arm_base_s_qz,arm_base_s_qw,ee_f_e_x, ee_f_e_y, ee_f_e_z, ee_f_e_qx, ee_f_e_qy, ee_f_e_qz,ee_beta_x,ee_beta_y,ee_beta_z,ee_beta_qx,ee_beta_qy,ee_beta_qz,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,ee_f_c_x,ee_f_c_y,ee_f_c_z,ee_f_c_qx,ee_f_c_qy,ee_f_c_qz,elbow_f_c_x,elbow_f_c_y,elbow_f_c_z,elbow_f_c_qx,elbow_f_c_qy,elbow_f_c_qz
0.478027,-0.856473,0.672188,-0.439812,-0.531321,0.483141,0.539295,-0.0165233,-0.013202,0.00306772,-0.0145393,-0.00051146,-0.0279183,0.107738,-0.690704,0.679773,-0.479343,0.877394,0.0195131,0.00531103,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,0.0155727,0,0,0,0,5.87469,-1.94346,-7.51522,1.0752,-0.0586994,0.754487,0.0693489,0,0,-10,0,0,0,0,0,2.02274,0,0,0,
0.477993,-0.8565,0.672194,-0.439834,-0.531302,0.483132,0.539303,-0.0177499,-0.0141838,0.00329084,-0.0138905,-0.000456151,-0.0300882,0.107714,-0.690709,0.679777,-0.479318,0.877409,0.0195082,0.00530898,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,1.27737,-0.357001,1.26467,0.0258511,0.227457,5.58704,0.589546,-6.80465,-2.10178,-0.135534,1.07471,-0.159868,0,0,-10,0,0,0,0,0,2.02229,0,0,0,
0.477974,-0.856515,0.672198,-0.439847,-0.531291,0.483127,0.539307,-0.0181838,-0.0145283,0.00337105,-0.0138867,-0.000449628,-0.0308389,0.1077,-0.690713,0.67978,-0.479303,0.877416,0.0195054,0.0053078,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,0.999442,-0.283404,0.962251,0.0213805,-0.237598,5.65677,0.129817,-6.95378,-1.51297,-0.116315,1.12593,-0.110254,0,0,-10,0,0,0,0,0,2.02204,0,0,0,
0.477955,-0.85653,0.672201,-0.439859,-0.531281,0.483123,0.539311,-0.0186489,-0.0148991,0.00345603,-0.0144899,-0.000463613,-0.0316184,0.107687,-0.690715,0.679782,-0.47929,0.877424,0.0195028,0.00530691,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,0.758843,-0.210784,0.744944,0.033955,-0.162529,5.72595,-0.386195,-7.09716,-0.876757,-0.0996839,1.02999,-0.0739842,0,0,-10,0,0,0,0,0,2.0218,0,0,0,
0.477919,-0.856558,0.672208,-0.439883,-0.531261,0.483114,0.539319,-0.0183598,-0.0146624,0.00340182,-0.0147908,-0.000474583,-0.0310916,0.107661,-0.690721,0.679787,-0.479263,0.877439,0.0194975,0.00530471,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,1.75037,-0.503001,1.80972,0.0749772,-0.241761,5.50123,1.66771,-6.5135,-3.43965,-0.160102,1.35599,-0.274085,0,0,-10,0,0,0,0,0,2.02132,0,0,0,
0.4779,-0.856574,0.672211,-0.439896,-0.53125,0.48311,0.539323,-0.0181814,-0.0145168,0.0033693,-0.0152594,-0.000495274,-0.0307513,0.107647,-0.690724,0.679789,-0.479248,0.877447,0.0194947,0.00530352,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,1.00672,-0.231744,0.888343,0.0205629,-0.106402,5.74722,0.0749397,-7.0613,-1.51359,-0.10668,1.09231,-0.107736,0,0,-10,0,0,0,0,0,2.02107,0,0,0,
0.477884,-0.856587,0.672215,-0.439908,-0.53124,0.483107,0.539326,-0.0165185,-0.0131795,0.00306523,-0.0157044,-0.000536388,-0.0278124,0.107635,-0.690727,0.679791,-0.479236,0.877454,0.0194923,0.00530277,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,1.75226,-0.185396,0.799437,0.0431468,-0.467971,6.0351,1.49759,-7.19762,-3.61299,-0.0787379,1.44475,-0.147423,0,0,-10,0,0,0,0,0,2.02085,0,0,0,
0.477858,-0.856606,0.672219,-0.439928,-0.531224,0.483103,0.539328,-0.0122325,-0.0097292,0.00227724,-0.0153735,-0.000595616,-0.0202959,0.107617,-0.690731,0.679795,-0.479217,0.877464,0.0194887,0.00530183,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,2.64331,-0.351108,1.89483,0.116361,-0.512074,6.03179,3.25551,-6.86249,-5.93655,-0.119929,1.73035,-0.391674,0,0,-10,0,0,0,0,0,2.02054,0,0,0,
0.477848,-0.856614,0.672221,-0.439936,-0.531218,0.483102,0.539329,-0.00933904,-0.00740476,0.00174495,-0.0138531,-0.000581012,-0.0153015,0.107609,-0.690733,0.679796,-0.479211,0.877467,0.0194873,0.0053017,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,1.77809,-0.117492,0.694051,0.06124,-0.586137,6.17533,1.51903,-7.3408,-3.73587,-0.0611858,1.49107,-0.151084,0,0,-10,0,0,0,0,0,2.02043,0,0,0,
0.477841,-0.856618,0.672222,-0.439942,-0.531214,0.483104,0.539327,-0.00730527,-0.00576149,0.00137098,-0.0131723,-0.000595241,-0.0117412,0.107604,-0.690734,0.679796,-0.479207,0.87747,0.0194865,0.00530198,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,1.51259,-0.0757137,0.63594,0.0760776,-0.669855,6.1948,1.01409,-7.41449,-3.06457,-0.0548427,1.4305,-0.142236,0,0,-10,0,0,0,0,0,2.02037,0,0,0,
