pivot_1,pivot_2,pivot_3,pivot_4,platform_force_x,platform_force_y,platform_force_z,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,tau_c_8,x_platform_x,x_platform_y,x_platform_qz,xd_platform_x,xd_platform_y,xd_platform_qz
0.668001,1.26365,5.64313,4.45917,113.108,-163.906,44.981,2.05933,-0.265255,7.84517,3.49471,2.69071,5.20919,-3.82067,-6.96368,-2.58227e-10,-2.20701e-07,5.33e-14,-1.29113e-07,-0.000110351,0.000230868,
0.668001,1.26365,5.64313,4.45917,113.127,-163.947,44.9905,2.05994,-0.265333,7.84725,3.49572,2.69179,5.21067,-3.8212,-6.9651,-4.50977e-10,-3.8544e-07,1.18788e-13,-1.29113e-07,-0.000110351,0.000230868,
0.668001,1.26365,5.64313,4.45917,113.149,-163.98,44.9977,2.06047,-0.265273,7.84887,3.49653,2.69238,5.21168,-3.82189,-6.96636,-5.91515e-10,-5.05556e-07,6.31501e-14,-1.29113e-07,-0.000110351,0.000230868,
0.667965,1.26365,5.64314,4.45919,113.173,-164.019,45.0073,2.0612,-0.265368,7.85117,3.49786,2.69343,5.21308,-3.82266,-6.96806,3.37963e-08,-5.68936e-07,4.81085e-14,2.51323e-05,-4.63217e-05,0.000160302,
0.667977,1.26366,5.64314,4.45919,113.186,-164.053,45.015,2.06168,-0.265451,7.8528,3.49858,2.69443,5.21444,-3.82299,-6.9691,1.03833e-07,-7.63208e-07,5.41301e-13,6.03472e-05,-0.000167394,0.000633943,
0.667989,1.2637,5.64319,4.45913,113.207,-164.09,45.024,2.06205,-0.265818,7.85476,3.49961,2.69609,5.2162,-3.8235,-6.97077,2.9024e-06,-4.32988e-06,1.54361e-10,0.00208881,-0.00266215,0.00927333,
0.668109,1.26408,5.64362,4.45852,113.235,-164.131,45.0335,2.06092,-0.268923,7.85726,3.50148,2.70426,5.22216,-3.82335,-6.97486,1.71607e-05,-2.79993e-05,4.82727e-09,0.00965698,-0.0160323,0.0470596,
0.668085,1.26441,5.64368,4.45826,113.252,-164.165,45.0415,2.06029,-0.270653,7.85667,3.50043,2.7056,5.22459,-3.82391,-6.97588,3.02428e-05,-5.18666e-05,4.49376e-09,0.0111694,-0.0203792,0.0572335,
0.667953,1.26325,5.64296,4.45974,113.277,-164.201,45.0503,2.06577,-0.262672,7.8624,3.50381,2.69472,5.21687,-3.82618,-6.97412,4.64855e-05,-7.84307e-05,5.61817e-09,0.0120311,-0.0196779,0.0555195,
0.667677,1.26132,5.64171,4.46233,113.304,-164.24,45.0601,2.07485,-0.249124,7.87048,3.5086,2.67497,5.20284,-3.8298,-6.96981,6.33943e-05,-0.000106547,6.05503e-09,0.0110703,-0.0184098,0.050945,
