p,i,d,error,error_sum,prev_error,control_singal
750,105.5,80,0.271143,0.000271143,0.271143,-1796.61
750,105.5,80,0.27114,0.000636894,0.27114,203.248
750,105.5,80,0.271138,0.000989841,0.271138,203.35
750,105.5,80,0.271136,0.00131023,0.271136,203.379
750,105.5,80,0.271135,0.00167549,0.271135,203.433
750,105.5,80,0.271132,0.00198427,0.271132,203.335
750,105.5,80,0.27113,0.00237655,0.27113,203.521
750,105.5,80,0.271129,0.00275994,0.271129,203.562
750,105.5,80,0.271126,0.00308977,0.271126,203.509
750,105.5,80,0.271124,0.00344667,0.271124,203.59
750,105.5,80,0.271123,0.00376506,0.271123,203.61
750,105.5,80,0.271121,0.00413092,0.271121,203.662
750,105.5,80,0.271117,0.00452662,0.271117,203.606
750,105.5,80,0.271115,0.00491933,0.271115,203.734
750,105.5,80,0.27111,0.00532059,0.27111,203.633
750,105.5,80,0.271107,0.00563116,0.271107,203.715
750,105.5,80,0.271104,0.00600669,0.271104,203.812
750,105.5,80,0.271099,0.00632571,0.271099,203.64
750,105.5,80,0.271097,0.00670378,0.271097,203.885
750,105.5,80,0.271094,0.00709032,0.271094,203.923
750,105.5,80,0.271088,0.00741675,0.271088,203.724
750,105.5,80,0.271085,0.00777813,0.271085,203.912
750,105.5,80,0.271081,0.00814846,0.271081,203.943
750,105.5,80,0.271076,0.00845267,0.271076,203.887
750,105.5,80,0.271066,0.00885255,0.271066,203.648
750,105.5,80,0.271059,0.00916649,0.271059,203.793
750,105.5,80,0.271045,0.00967792,0.271045,203.711
750,105.5,80,0.271038,0.0100779,0.271038,203.976
750,105.5,80,0.271024,0.0104687,0.271024,203.584
750,105.5,80,0.271017,0.010786,0.271017,203.936
750,105.5,80,0.27101,0.0111668,0.27101,204.054
750,105.5,80,0.270995,0.0114697,0.270995,203.327
750,105.5,80,0.270986,0.0118451,0.270986,204.012
750,105.5,80,0.270978,0.0122081,0.270978,204.022
750,105.5,80,0.27097,0.0125303,0.27097,203.993
750,105.5,80,0.270952,0.0128274,0.270952,203.303
750,105.5,80,0.270943,0.0132004,0.270943,204.075
750,105.5,80,0.270933,0.0135652,0.270933,204.036
750,105.5,80,0.270913,0.0138894,0.270913,203.279
750,105.5,80,0.270903,0.0141943,0.270903,203.994
750,105.5,80,0.270893,0.0145559,0.270893,204.118
750,105.5,80,0.270882,0.0149522,0.270882,204.141
750,105.5,80,0.270857,0.0153645,0.270857,203.407
750,105.5,80,0.270843,0.0157437,0.270843,204.014
750,105.5,80,0.270814,0.0160758,0.270814,202.889
750,105.5,80,0.270799,0.0164379,0.270799,203.954
750,105.5,80,0.270784,0.0168257,0.270784,204.046
750,105.5,80,0.270752,0.0171471,0.270752,202.678
750,105.5,80,0.270735,0.0175277,0.270735,203.973
750,105.5,80,0.270719,0.0178326,0.270719,203.771
750,105.5,80,0.270702,0.0181902,0.270702,203.915
750,105.5,80,0.270664,0.0185008,0.270664,202.274
750,105.5,80,0.270646,0.0188761,0.270646,203.951
750,105.5,80,0.270626,0.0192684,0.270626,203.884
750,105.5,80,0.270589,0.0196601,0.270589,202.975
750,105.5,80,0.27057,0.0199766,0.27057,203.757
750,105.5,80,0.270549,0.0203577,0.270549,203.85
750,105.5,80,0.27051,0.0206651,0.27051,202.342
750,105.5,80,0.270491,0.0211628,0.270491,204.274
