p,i,d,error,error_sum,prev_error,control_singal
750,105.5,80,-0.107606,-0.000107606,-0.107606,1919.28
750,105.5,80,-0.107607,-0.000254135,-0.107607,-80.7731
750,105.5,80,-0.107607,-0.000373623,-0.107607,-80.7866
750,105.5,80,-0.107608,-0.000494751,-0.107608,-80.7982
750,105.5,80,-0.107608,-0.000647722,-0.107608,-80.799
750,105.5,80,-0.107608,-0.00079901,-0.107608,-80.7624
750,105.5,80,-0.107606,-0.000930304,-0.107606,-80.6958
750,105.5,80,-0.107603,-0.00107816,-0.107603,-80.6059
750,105.5,80,-0.107588,-0.00122884,-0.107588,-79.9985
750,105.5,80,-0.107583,-0.0013824,-0.107583,-80.5267
750,105.5,80,-0.10757,-0.00151123,-0.10757,-79.9536
750,105.5,80,-0.107562,-0.00165596,-0.107562,-80.4135
750,105.5,80,-0.107554,-0.00178452,-0.107554,-80.3268
750,105.5,80,-0.107545,-0.00193238,-0.107545,-80.3405
750,105.5,80,-0.107527,-0.00208518,-0.107527,-79.8441
750,105.5,80,-0.107516,-0.00221451,-0.107516,-80.1528
750,105.5,80,-0.107496,-0.00236106,-0.107496,-79.6601
750,105.5,80,-0.107485,-0.00250418,-0.107485,-80.2558
750,105.5,80,-0.107475,-0.00264198,-0.107475,-80.252
750,105.5,80,-0.107464,-0.00278613,-0.107464,-80.2419
750,105.5,80,-0.107443,-0.00294896,-0.107443,-79.7558
750,105.5,80,-0.107431,-0.00310324,-0.107431,-80.2534
750,105.5,80,-0.107406,-0.00322831,-0.107406,-79.1475
750,105.5,80,-0.107393,-0.0033785,-0.107393,-80.1699
750,105.5,80,-0.10738,-0.00353737,-0.10738,-80.1984
750,105.5,80,-0.107353,-0.00369329,-0.107353,-79.4432
750,105.5,80,-0.107341,-0.00382018,-0.107341,-80.0716
750,105.5,80,-0.107329,-0.00393878,-0.107329,-80.0362
750,105.5,80,-0.107316,-0.00407895,-0.107316,-80.1423
750,105.5,80,-0.107293,-0.00421857,-0.107293,-79.4757
750,105.5,80,-0.107282,-0.00435116,-0.107282,-80.2065
750,105.5,80,-0.107271,-0.00446641,-0.107271,-80.1058
750,105.5,80,-0.107262,-0.00461513,-0.107262,-80.4025
750,105.5,80,-0.107246,-0.00473072,-0.107246,-79.7421
750,105.5,80,-0.107238,-0.00487638,-0.107238,-80.4848
750,105.5,80,-0.107231,-0.00500246,-0.107231,-80.4558
750,105.5,80,-0.107223,-0.00515109,-0.107223,-80.5397
750,105.5,80,-0.107209,-0.00530057,-0.107209,-80.1229
750,105.5,80,-0.107202,-0.00546515,-0.107202,-80.6164
750,105.5,80,-0.107188,-0.00558646,-0.107188,-80.0476
750,105.5,80,-0.107182,-0.00573269,-0.107182,-80.6089
750,105.5,80,-0.107176,-0.00585625,-0.107176,-80.5852
750,105.5,80,-0.10717,-0.00601019,-0.10717,-80.6851
750,105.5,80,-0.107159,-0.00616784,-0.107159,-80.4099
750,105.5,80,-0.107154,-0.00631575,-0.107154,-80.7282
750,105.5,80,-0.107141,-0.006439,-0.107141,-80.1655
750,105.5,80,-0.107134,-0.00658701,-0.107134,-80.6149
750,105.5,80,-0.107126,-0.00670761,-0.107126,-80.4764
750,105.5,80,-0.107116,-0.00685848,-0.107116,-80.4943
750,105.5,80,-0.107097,-0.00697817,-0.107097,-79.7208
750,105.5,80,-0.107087,-0.00712237,-0.107087,-80.5023
750,105.5,80,-0.107077,-0.00724645,-0.107077,-80.331
750,105.5,80,-0.107068,-0.00739378,-0.107068,-80.5515
750,105.5,80,-0.107052,-0.00754294,-0.107052,-80.1791
750,105.5,80,-0.107043,-0.00766889,-0.107043,-80.4793
750,105.5,80,-0.107035,-0.00778321,-0.107035,-80.5407
750,105.5,80,-0.107029,-0.00793322,-0.107029,-80.7526
750,105.5,80,-0.107014,-0.008091,-0.107014,-80.3023
750,105.5,80,-0.107004,-0.00824436,-0.107004,-80.543
750,105.5,80,-0.106989,-0.00840341,-0.106989,-80.3145
750,105.5,80,-0.106981,-0.00853092,-0.106981,-80.5994
750,105.5,80,-0.106972,-0.00867561,-0.106972,-80.6192
