ee_s_x,ee_s_y,ee_s_z,ee_s_qx,ee_s_qy,ee_s_qz,ee_s_qw,ee_twist_x,ee_twist_y,ee_twist_z,ee_twist_qx,ee_twist_qy,ee_twist_qz,elbow_s_x,elbow_s_y,elbow_s_z,elbow_s_qx,elbow_s_qy,elbow_s_qz,elbow_s_qw,arm_base_s_x,arm_base_s_y,arm_base_s_z,arm_base_s_qx,arm_base_s_qy,arm_base_s_qz,arm_base_s_qw,ee_f_e_x, ee_f_e_y, ee_f_e_z, ee_f_e_qx, ee_f_e_qy, ee_f_e_qz,ee_beta_x,ee_beta_y,ee_beta_z,ee_beta_qx,ee_beta_qy,ee_beta_qz,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,ee_f_c_x,ee_f_c_y,ee_f_c_z,ee_f_c_qx,ee_f_c_qy,ee_f_c_qz,elbow_f_c_x,elbow_f_c_y,elbow_f_c_z,elbow_f_c_qx,elbow_f_c_qy,elbow_f_c_qz
0.732131,0.122991,0.768473,0.603316,0.455891,-0.50307,-0.418442,-0.0161104,-0.0377707,0.0284591,-0.0467576,-0.0432039,-0.0710911,0.432691,0.357629,0.662923,-0.315874,0.927877,-0.176214,-0.0906503,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,0.00274472,0,0,0,0,15.2395,2.37302,3.22519,-2.81697,-0.982629,-2.05659,2.42086,0,0,-12,0,0,0,0,0,11.1231,0,0,0,
0.732096,0.12291,0.768531,0.603393,0.45584,-0.503032,-0.418432,-0.0164179,-0.0375152,0.028134,-0.0464855,-0.0435264,-0.07169,0.4327,0.357585,0.662939,-0.315792,0.927897,-0.176255,-0.0906416,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,4.01966,-3.49539,3.34286,3.18739,15.8813,9.80063,-4.31289,0.874054,-7.69951,-1.82065,1.61372,2.35193,0,0,-12,0,0,0,0,0,11.1184,0,0,0,
0.732065,0.122838,0.768586,0.603465,0.455794,-0.502999,-0.418419,-0.0167658,-0.0401573,0.0281867,-0.0461375,-0.043382,-0.0745364,0.432709,0.357546,0.662953,-0.315718,0.927916,-0.176296,-0.0906335,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,3.12518,-2.90708,2.84897,2.66075,12.5594,10.7051,-2.84603,1.18984,-6.69526,-1.64309,0.851435,2.35196,0,0,-12,0,0,0,0,0,11.1142,0,0,0,
0.732047,0.122792,0.768614,0.603504,0.455766,-0.502979,-0.418416,-0.0169491,-0.0413809,0.0277595,-0.0459224,-0.0429072,-0.0760345,0.432715,0.35752,0.66296,-0.315674,0.927927,-0.176316,-0.0906309,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,2.38977,-1.73993,1.70314,1.58757,8.81262,12.5707,-1.6403,2.21308,-5.57672,-1.44101,-0.0395889,2.36033,0,0,-12,0,0,0,0,0,11.112,0,0,0,
0.732012,0.122704,0.768669,0.603581,0.455713,-0.502941,-0.418409,-0.0170836,-0.042849,0.026765,-0.0453401,-0.0416324,-0.0776648,0.432725,0.357472,0.662974,-0.31559,0.927949,-0.176357,-0.0906255,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,3.98463,-3.03798,3.01884,2.80112,15.6227,10.5716,-4.096,1.35376,-7.46266,-1.79734,1.54098,2.30672,0,0,-12,0,0,0,0,0,11.1079,0,0,0,
0.731995,0.122661,0.768694,0.603618,0.455686,-0.502923,-0.418406,-0.0170222,-0.0439308,0.0256148,-0.0446406,-0.0400664,-0.0786302,0.43273,0.357448,0.66298,-0.315549,0.927959,-0.176376,-0.0906236,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,2.58996,-1.86091,2.00812,1.71517,8.8088,12.4095,-2.20818,2.18259,-5.81602,-1.42355,-0.0620875,2.3068,0,0,-12,0,0,0,0,0,11.1061,0,0,0,
0.731979,0.122621,0.768719,0.603654,0.455661,-0.502906,-0.418402,-0.0173743,-0.0470204,0.0247846,-0.0458083,-0.038578,-0.0825155,0.432735,0.357427,0.662986,-0.31551,0.927969,-0.176394,-0.0906213,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,2.28702,-1.67678,1.83922,1.57494,8.84491,12.6927,-1.34722,2.2273,-5.45571,-1.43197,-0.0281089,2.30618,0,0,-12,0,0,0,0,0,11.1043,0,0,0,
0.731945,0.122518,0.768762,0.603729,0.455602,-0.502869,-0.418403,-0.0151075,-0.0455389,0.0190237,-0.0400594,-0.0315686,-0.0758466,0.432747,0.357368,0.662997,-0.315423,0.927993,-0.176422,-0.0906216,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,6.57777,-3.34125,3.93939,3.21281,23.0536,10.3786,-8.42374,1.99776,-9.78795,-2.11736,3.15497,2.04339,0,0,-12,0,0,0,0,0,11.101,0,0,0,
0.731932,0.122477,0.768777,0.603758,0.455579,-0.502855,-0.418404,-0.0129934,-0.0415649,0.0152466,-0.0342807,-0.0268847,-0.0670685,0.432752,0.357345,0.663001,-0.31539,0.928003,-0.176432,-0.0906223,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,2.04747,-0.927155,1.24705,0.962518,6.94376,13.942,-0.998341,2.98109,-4.93697,-1.30183,-0.495318,2.25624,0,0,-12,0,0,0,0,0,11.0998,0,0,0,
0.731922,0.122441,0.768788,0.603782,0.45556,-0.502843,-0.418404,-0.0106394,-0.0364651,0.0117205,-0.028744,-0.0222848,-0.0566993,0.432756,0.357324,0.663004,-0.315361,0.928011,-0.176438,-0.0906235,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,1.82694,-0.725441,1.03144,0.839208,6.1638,14.2697,-0.591064,3.12366,-4.66142,-1.24634,-0.669599,2.25543,0,0,-12,0,0,0,0,0,11.0989,0,0,0,
0.731905,0.122375,0.768806,0.603824,0.455526,-0.502823,-0.418404,-0.0076347,-0.0312709,0.00756866,-0.0245151,-0.0170594,-0.0445129,0.432764,0.357284,0.663009,-0.315314,0.928025,-0.176446,-0.0906273,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,3.12688,-1.02987,1.72313,1.31664,9.80831,13.9598,-2.85166,3.2961,-5.90184,-1.36438,0.12707,2.08674,0,0,-12,0,0,0,0,0,11.0974,0,0,0,
0.731898,0.122346,0.768812,0.603841,0.455512,-0.502814,-0.418405,-0.00707304,-0.0302285,0.00607748,-0.0212513,-0.0158815,-0.0419121,0.432768,0.357266,0.66301,-0.315294,0.928031,-0.176448,-0.0906301,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,1.90707,-0.477552,0.97997,0.727254,6.88777,14.7281,-0.448178,3.3964,-4.60521,-1.25677,-0.500218,2.18259,0,0,-12,0,0,0,0,0,11.0969,0,0,0,
