ee_s_x,ee_s_y,ee_s_z,ee_s_qx,ee_s_qy,ee_s_qz,ee_s_qw,ee_twist_x,ee_twist_y,ee_twist_z,ee_twist_qx,ee_twist_qy,ee_twist_qz,elbow_s_x,elbow_s_y,elbow_s_z,elbow_s_qx,elbow_s_qy,elbow_s_qz,elbow_s_qw,arm_base_s_x,arm_base_s_y,arm_base_s_z,arm_base_s_qx,arm_base_s_qy,arm_base_s_qz,arm_base_s_qw,ee_f_e_x, ee_f_e_y, ee_f_e_z, ee_f_e_qx, ee_f_e_qy, ee_f_e_qz,ee_beta_x,ee_beta_y,ee_beta_z,ee_beta_qx,ee_beta_qy,ee_beta_qz,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,ee_f_c_x,ee_f_c_y,ee_f_c_z,ee_f_c_qx,ee_f_c_qy,ee_f_c_qz,elbow_f_c_x,elbow_f_c_y,elbow_f_c_z,elbow_f_c_qx,elbow_f_c_qy,elbow_f_c_qz
0.741509,-0.131492,0.757711,0.55511,0.483448,-0.49042,-0.466495,-0.00308722,0.0143221,0.00298509,-0.0119407,-0.0316994,0.0234319,0.433645,-0.357234,0.67937,0.0574403,-0.15104,0.927228,0.33784,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,0.00274472,0,0,0,0,-14.1009,-4.56671,-5.75906,-3.15105,1.08618,2.33006,-0.891723,0,0,-12,0,0,0,0,0,6.18901,0,0,0,
0.741503,-0.131464,0.757717,0.555119,0.483469,-0.490419,-0.466464,-0.00305282,0.0140434,0.00294307,-0.0112701,-0.0301178,0.0222316,0.433648,-0.357219,0.67937,0.0574423,-0.151037,0.927234,0.337824,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,-1.36064,-0.374537,1.06602,2.9604,4.78527,-14.4697,0.342117,-6.2725,-4.68429,0.11093,3.46889,-0.669863,0,0,-12,0,0,0,0,0,6.18887,0,0,0,
0.741497,-0.131437,0.757724,0.55513,0.483489,-0.490417,-0.466433,-0.00306102,0.0138809,0.00322904,-0.0105841,-0.029677,0.0214217,0.433651,-0.357204,0.679371,0.0574442,-0.151035,0.927241,0.337807,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,-1.18822,-0.363059,1.02304,2.7042,3.63724,-14.3629,-0.45076,-6.1706,-4.48918,0.244943,3.17983,-0.720441,0,0,-12,0,0,0,0,0,6.18869,0,0,0,
0.741494,-0.131422,0.757727,0.555135,0.483498,-0.490415,-0.46642,-0.00324585,0.0146977,0.00344796,-0.0099357,-0.0298343,0.022644,0.433652,-0.357195,0.679372,0.0574451,-0.151034,0.927244,0.337797,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,-0.756259,-0.211887,0.398718,1.40851,3.03913,-14.2687,-1.68515,-6.01477,-4.01418,0.579058,3.0759,-0.757743,0,0,-12,0,0,0,0,0,6.18854,0,0,0,
0.74149,-0.131407,0.75773,0.555139,0.483508,-0.490414,-0.466406,-0.00340046,0.0152906,0.00352893,-0.00941173,-0.0297428,0.0226443,0.433654,-0.357187,0.679372,0.0574461,-0.151033,0.927248,0.337787,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,-0.678918,-0.177806,0.410039,1.32852,6.17377,-14.3752,-0.868983,-6.10417,-4.00085,0.406071,3.85844,-0.72607,0,0,-12,0,0,0,0,0,6.18844,0,0,0,
0.741483,-0.131374,0.757738,0.555148,0.48353,-0.490412,-0.466374,-0.00373017,0.0165457,0.00382907,-0.00996643,-0.0310619,0.022721,0.433657,-0.357168,0.679373,0.0574482,-0.151031,0.927256,0.337766,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,-1.95406,-0.531539,1.1762,3.67558,0.368021,-14.3698,0.413976,-6.24957,-5.2001,0.214143,2.37537,-0.660923,0,0,-12,0,0,0,0,0,6.18811,0,0,0,
0.74148,-0.131357,0.75774,0.555151,0.483541,-0.490413,-0.466359,-0.0039674,0.0179271,0.00359044,-0.00849037,-0.0296982,0.0254926,0.433659,-0.357158,0.679373,0.0574498,-0.151029,0.92726,0.337757,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,-0.967602,-0.143261,0.608157,1.56369,2.36184,-14.4609,-1.42441,-6.17102,-4.17619,0.56257,2.91233,-0.752474,0,0,-12,0,0,0,0,0,6.18808,0,0,0,
0.741478,-0.131341,0.75774,0.555155,0.48355,-0.490414,-0.466344,-0.00375629,0.0174435,0.00258423,-0.00953627,-0.0286983,0.0255354,0.433661,-0.357148,0.679372,0.0574523,-0.151025,0.927263,0.337748,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,-1.05227,-0.0198751,0.738974,1.62695,8.68511,-14.8856,0.782085,-6.51997,-4.36077,0.141849,4.49874,-0.644244,0,0,-12,0,0,0,0,0,6.18827,0,0,0,
0.741476,-0.131324,0.757737,0.555157,0.483558,-0.490417,-0.466329,-0.00357521,0.0176969,0.000524661,-0.01062,-0.026317,0.027735,0.433663,-0.357139,0.679371,0.0574557,-0.15102,0.927266,0.337741,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,-0.796171,0.148738,0.658334,1.07678,1.70171,-14.8401,-2.17365,-6.38172,-3.90106,0.671306,2.75601,-0.75183,0,0,-12,0,0,0,0,0,6.18873,0,0,0,
0.741475,-0.131294,0.757729,0.555161,0.483576,-0.490423,-0.466299,-0.00288262,0.017208,-0.00354712,-0.0125832,-0.0228517,0.0344602,0.433666,-0.35712,0.679367,0.0574639,-0.151007,0.927271,0.337731,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,-1.49356,0.468771,1.28686,2.14073,-0.178926,-15.7782,-1.28301,-7.06807,-4.41875,0.44777,2.27606,-0.59506,0,0,-12,0,0,0,0,0,6.18997,0,0,0,
