pivot_1,pivot_2,pivot_3,pivot_4,platform_force_x,platform_force_y,platform_force_z,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,tau_c_8,x_platform_x,x_platform_y,x_platform_qz,xd_platform_x,xd_platform_y,xd_platform_qz
6.08955,5.75769,0.892364,0.479586,-26.4379,0,0,1.3977,4,-2.10365,2.37654,-1.49468,3.20565,-4,-1.91402,-5.78192e-07,3.48754e-08,3.48538e-07,-0.000319516,3.54111e-05,0.000257707,
6.08951,5.75757,0.892592,0.479646,-26.4591,0,0,1.40086,4,-2.1079,2.37974,-1.49587,3.21213,-4,-1.91823,-4.30384e-06,-3.36508e-07,1.94565e-07,-0.000318721,-3.17709e-05,-1.3172e-05,
6.08947,5.75745,0.892796,0.479634,-26.4801,0,0,1.40436,4,-2.11234,2.38306,-1.49717,3.21847,-4,-1.92284,-5.69625e-06,-8.11463e-07,-1.51439e-07,-0.000119266,-4.06818e-05,-2.96367e-05,
6.08938,5.75743,0.892843,0.479646,-26.5016,0,0,1.40667,4,-2.11693,2.38747,-1.49978,3.22482,-4,-1.9262,-5.6468e-06,-1.73518e-06,-4.26619e-06,4.15915e-06,-7.76976e-05,-0.00034611,
6.08931,5.75749,0.892819,0.479634,-26.5233,0,0,1.40874,4,-2.12159,2.39255,-1.50306,3.23118,-4,-1.9294,-4.87915e-06,-1.96819e-06,-7.1822e-06,6.38995e-05,-1.93957e-05,-0.000242728,
6.08932,5.75751,0.892807,0.479646,-26.5449,0,0,1.41132,4,-2.12585,2.39727,-1.50603,3.23771,-4,-1.93297,-5.48922e-06,-1.88981e-06,-6.57287e-06,-5.13736e-05,6.59999e-06,5.13111e-05,
6.08937,5.75753,0.892867,0.479682,-26.567,0,0,1.41422,4,-2.13011,2.40199,-1.50872,3.24458,-4,-1.937,-6.14511e-06,-1.10823e-06,-2.94652e-06,-5.34755e-05,6.37217e-05,0.000295658,
6.08943,5.75752,0.892915,0.479717,-26.5882,0,0,1.41717,4,-2.1341,2.40633,-1.51121,3.25119,-4,-1.94093,-6.66515e-06,-7.31283e-07,-2.84099e-06,-4.43856e-05,3.21728e-05,9.00737e-06,
6.08947,5.75754,0.892939,0.479717,-26.6098,0,0,1.42008,4,-2.13838,2.41109,-1.51404,3.25784,-4,-1.94493,-5.55925e-06,6.67042e-08,-3.79839e-06,9.19209e-05,6.6328e-05,-7.95785e-05,
6.0895,5.75755,0.892855,0.479694,-26.6316,0,0,1.42285,4,-2.14264,2.41606,-1.51741,3.2644,-4,-1.9486,-4.1212e-06,4.34078e-07,-3.31201e-06,0.000120315,3.07368e-05,4.06936e-05,
6.08953,5.75755,0.892664,0.479658,-26.6534,0,0,1.42537,4,-2.14695,2.42131,-1.52138,3.27096,-4,-1.95182,-2.75515e-06,3.3327e-07,-6.08922e-07,0.000113285,-8.35954e-06,0.000224164,
6.08951,5.75755,0.892448,0.479646,-26.6748,0,0,1.4274,4,-2.15127,2.42652,-1.52548,3.27736,-4,-1.95444,-1.00893e-06,6.09302e-08,-2.38758e-07,0.000147221,-2.29603e-05,3.12078e-05,
6.08955,5.75757,0.892364,0.479634,-26.6965,0,0,1.43011,4,-2.15553,2.43152,-1.52888,3.28399,-4,-1.95803,-1.27997e-07,1.52184e-07,1.05431e-06,7.32186e-05,7.58456e-06,0.000107473,
6.08956,5.75759,0.892436,0.479622,-26.7184,0,0,1.43307,4,-2.15987,2.4361,-1.53142,3.2905,-4,-1.9622,-6.09766e-07,-3.58618e-07,8.55742e-09,-4.05166e-05,-4.29582e-05,-8.79473e-05,
6.08956,5.75761,0.892532,0.479622,-26.7418,0,0,1.43624,4,-2.16471,2.4411,-1.53413,3.2977,-4,-1.96671,-1.05905e-06,-7.40564e-07,-2.65672e-06,-3.41559e-05,-2.90368e-05,-0.000202624,
6.08951,5.75764,0.892628,0.47961,-26.7632,0,0,1.43894,4,-2.1693,2.44564,-1.53658,3.30412,-4,-1.97068,-1.31667e-06,-1.05568e-06,-5.1795e-06,-2.15267e-05,-2.63308e-05,-0.000210802,
6.0895,5.75772,0.892604,0.479574,-26.7851,0,0,1.44142,4,-2.17382,2.4509,-1.53991,3.31055,-4,-1.97437,1.19124e-07,-1.09879e-06,-7.86611e-06,0.000119731,-3.59452e-06,-0.000224036,
6.0895,5.75781,0.892496,0.479526,-26.8067,0,0,1.44379,4,-2.17829,2.45639,-1.54369,3.31696,-4,-1.97781,2.08569e-06,-9.83121e-07,-8.81162e-06,0.00016449,9.67632e-06,-7.90864e-05,
6.08951,5.75785,0.8924,0.479526,-26.8277,0,0,1.44602,4,-2.1825,2.46149,-1.54723,3.32335,-4,-1.98094,3.48783e-06,-7.35956e-07,-8.1554e-06,0.000119847,2.11273e-05,5.60899e-05,
6.08953,5.75784,0.892388,0.479526,-26.8485,0,0,1.44871,4,-2.18666,2.46597,-1.55005,3.32971,-4,-1.98455,3.34677e-06,-4.35603e-07,-5.40089e-06,-1.21824e-05,2.59407e-05,0.000237901,
6.08951,5.75781,0.892412,0.47955,-26.8702,0,0,1.45133,4,-2.1909,2.47024,-1.55264,3.33615,-4,-1.98808,2.70797e-06,-2.90604e-07,-3.1598e-06,-5.44917e-05,1.23684e-05,0.00019117,
6.08951,5.75775,0.892472,0.479562,-26.8915,0,0,1.45439,4,-2.19526,2.47441,-1.55501,3.34281,-4,-1.9921,1.43033e-06,-1.82981e-07,-9.68783e-08,-0.000105765,8.90887e-06,0.000253553,
6.08948,5.75769,0.892532,0.479598,-26.9135,0,0,1.45706,4,-2.19966,2.47854,-1.55739,3.34939,-4,-1.9957,-2.15563e-07,-2.86466e-07,1.35043e-06,-0.000136958,-8.61121e-06,0.000120434,
6.08948,5.7576,0.892628,0.479622,-26.9351,0,0,1.46021,4,-2.20394,2.48241,-1.55944,3.35601,-4,-1.9998,-1.76614e-06,-1.82806e-07,4.36399e-06,-0.000129779,8.67624e-06,0.000252226,
6.08947,5.75754,0.892676,0.479646,-26.9562,0,0,1.46301,4,-2.20819,2.48647,-1.56181,3.36248,-4,-2.00349,-2.26805e-06,1.18064e-08,4.12315e-06,-4.27112e-05,1.65613e-05,-2.04955e-05,
6.08947,5.75752,0.892724,0.47967,-26.9773,0,0,1.46572,4,-2.21238,2.49071,-1.56427,3.36891,-4,-2.00718,-2.57005e-06,5.3493e-07,5.347e-06,-2.59005e-05,4.4865e-05,0.000104962,
6.08948,5.75751,0.892807,0.479694,-26.9983,0,0,1.46854,4,-2.21651,2.49489,-1.56653,3.37531,-4,-2.01106,-3.71118e-06,3.11937e-07,5.08883e-06,-9.87428e-05,-1.92952e-05,-2.23404e-05,
6.08947,5.75749,0.892867,0.479742,-27.0207,0,0,1.47117,4,-2.22097,2.49942,-1.56915,3.38215,-4,-2.01474,-4.95269e-06,1.72037e-07,4.63741e-06,-0.000100205,-1.1291e-05,-3.64344e-05,
6.08947,5.75751,0.892915,0.479753,-27.0418,0,0,1.47381,4,-2.22519,2.50387,-1.57172,3.38853,-4,-2.01846,-5.26705e-06,-2.3432e-07,1.80245e-06,-2.706e-05,-3.49791e-05,-0.000244034,
6.08948,5.75752,0.892891,0.479717,-27.063,0,0,1.47667,4,-2.22952,2.50863,-1.57473,3.39493,-4,-2.02234,-4.12313e-06,-4.2579e-07,-1.02113e-06,9.70281e-05,-1.62408e-05,-0.000239497,
6.08949,5.75753,0.892796,0.479694,-27.084,0,0,1.4792,4,-2.23375,2.51353,-1.57813,3.40128,-4,-2.02572,-2.5181e-06,-8.02599e-07,1.38748e-06,0.000137525,-3.22864e-05,0.000206379,
6.0895,5.75757,0.892652,0.479658,-27.1051,0,0,1.48155,4,-2.23798,2.5187,-1.58189,3.40756,-4,-2.0289,-1.14305e-06,-1.06514e-06,2.38804e-06,0.000118515,-2.26287e-05,8.62372e-05,
6.08953,5.75763,0.89252,0.47961,-27.127,0,0,1.48412,4,-2.24241,2.5242,-1.58578,3.41412,-4,-2.03244,1.07185e-06,-1.2097e-06,1.82301e-06,0.000182522,-1.19125e-05,-4.65623e-05,
6.08955,5.75769,0.892448,0.479598,-27.1483,0,0,1.48655,4,-2.24667,2.52938,-1.58926,3.42059,-4,-2.03588,3.44931e-06,-5.92428e-07,6.43836e-07,0.000200922,5.21656e-05,-9.96534e-05,
