dist_sp,kl_bl_base_dist,kr_bl_base_dist,kl_bl_base_f_mag,kr_bl_base_f_mag,kl_bl_base_f_dir_x,kl_bl_base_f_dir_y,kl_bl_base_f_dir_z,kr_bl_base_f_dir_x,kr_bl_base_f_dir_y,kr_bl_base_f_dir_z,kl_bl_base_f_at_base_x,kl_bl_base_f_at_base_y,kl_bl_base_f_at_base_mz,kr_bl_base_f_at_base_x,kr_bl_base_f_at_base_y,kr_bl_base_f_at_base_mz
0.7,0.70529,0.987462,1.58694,86.2416,-0.637567,-0.0819907,0,-61.9876,-0.217919,0,1.51844,-0.453227,-0.0402657,62.8242,-59.0284,15.5872,
0.7,0.70529,0.987462,1.58702,86.2463,-0.637602,-0.0819952,0,-61.991,-0.217931,0,1.51853,-0.453252,-0.0402679,62.8276,-59.0316,15.588,
0.7,0.70529,0.987462,1.58709,86.2499,-0.637629,-0.0819987,0,-61.9937,-0.21794,0,1.51859,-0.453271,-0.0402696,62.8303,-59.0341,15.5887,
0.7,0.70529,0.987462,1.58717,86.254,-0.637659,-0.0820026,0,-61.9966,-0.21795,0,1.51866,-0.453293,-0.0402715,62.8333,-59.0369,15.5894,
0.7,0.70529,0.987462,1.58724,86.2582,-0.63769,-0.0820065,0,-61.9996,-0.217961,0,1.51874,-0.453315,-0.0402734,62.8363,-59.0398,15.5902,
0.7,0.70529,0.987462,1.58731,86.2621,-0.637718,-0.0820101,0,-62.0024,-0.217977,0,1.5188,-0.453334,-0.0402751,62.8391,-59.0425,15.5909,
0.7,0.70529,0.987462,1.58738,86.2655,-0.637744,-0.0820135,0,-62.0049,-0.217986,0,1.51887,-0.453354,-0.0402768,62.8417,-59.0448,15.5915,
0.7,0.70529,0.987462,1.58746,86.2697,-0.637776,-0.0820177,0,-62.0079,-0.21799,0,1.51894,-0.453376,-0.0402788,62.8447,-59.0477,15.5922,
0.7,0.70529,0.987462,1.58753,86.2738,-0.637806,-0.0820214,0,-62.0108,-0.218,0,1.51901,-0.453397,-0.0402807,62.8477,-59.0505,15.593,
0.7,0.705289,0.987462,1.58329,86.2786,-0.636102,-0.0818021,0,-62.0143,-0.218019,0,1.51495,-0.452187,-0.040173,62.8512,-59.0538,15.5939,
0.7,0.705289,0.987462,1.58764,86.2822,-0.637852,-0.0820271,0,-62.0169,-0.218028,0,1.51912,-0.453431,-0.0402835,62.8538,-59.0563,15.5945,
0.7,0.705289,0.987462,1.58771,86.2856,-0.637877,-0.0820303,0,-62.0193,-0.218036,0,1.51918,-0.453449,-0.040285,62.8563,-59.0586,15.5951,
0.7,0.705289,0.987462,1.58781,86.2913,-0.637918,-0.0820357,0,-62.0234,-0.218051,0,1.51928,-0.453478,-0.0402876,62.8604,-59.0624,15.5961,
0.7,0.705289,0.987462,1.58788,86.295,-0.637946,-0.0820392,0,-62.026,-0.21806,0,1.51935,-0.453498,-0.0402894,62.8631,-59.065,15.5968,
0.7,0.705289,0.987462,1.58795,86.2985,-0.637972,-0.0820426,0,-62.0286,-0.218072,0,1.51941,-0.453517,-0.040291,62.8657,-59.0674,15.5975,
0.7,0.705289,0.987462,1.58803,86.303,-0.638005,-0.0820469,0,-62.0318,-0.218083,0,1.51949,-0.45354,-0.0402931,62.869,-59.0705,15.5983,
0.7,0.705289,0.987462,1.58809,86.3064,-0.638031,-0.0820501,0,-62.0343,-0.218092,0,1.51955,-0.453559,-0.0402947,62.8715,-59.0728,15.5989,
0.7,0.705289,0.987462,1.58815,86.3102,-0.638056,-0.0820534,0,-62.037,-0.218111,0,1.51961,-0.453577,-0.0402962,62.8742,-59.0754,15.5996,
0.7,0.705289,0.987462,1.58823,86.3142,-0.638088,-0.0820575,0,-62.0399,-0.218121,0,1.51968,-0.4536,-0.0402983,62.8772,-59.0781,15.6003,
