dist_sp,kl_bl_base_dist,kr_bl_base_dist,kl_bl_base_f_mag,kr_bl_base_f_mag,kl_bl_base_f_dir_x,kl_bl_base_f_dir_y,kl_bl_base_f_dir_z,kr_bl_base_f_dir_x,kr_bl_base_f_dir_y,kr_bl_base_f_dir_z,kl_bl_base_f_at_base_x,kl_bl_base_f_at_base_y,kl_bl_base_f_at_base_mz,kr_bl_base_f_at_base_x,kr_bl_base_f_at_base_y,kr_bl_base_f_at_base_mz
0.8,0.816114,0.817797,9.669,10.6788,-1.05831,0,9.60571,3.92911,0,9.91712,9.28113,-2.71073,-0.256768,7.6739,-7.36854,1.93228,
0.8,0.816114,0.817797,9.66981,10.6797,-1.0584,0,9.60652,3.92944,0,9.91796,9.28191,-2.71096,-0.256789,7.67454,-7.36916,1.93245,
0.8,0.816114,0.817797,9.67062,10.6806,-1.05849,0,9.60733,3.92977,0,9.91879,9.2827,-2.71118,-0.256811,7.67519,-7.36978,1.93261,
0.8,0.816114,0.817797,9.67144,10.6815,-1.05858,0,9.60814,3.9301,0,9.91963,9.28348,-2.71141,-0.256832,7.67583,-7.3704,1.93277,
0.8,0.816114,0.817797,9.67225,10.6824,-1.05867,0,9.60895,3.93044,0,9.92046,9.28426,-2.71164,-0.256854,7.67648,-7.37102,1.93293,
0.8,0.816114,0.817797,9.67307,10.6833,-1.05876,0,9.60976,3.93077,0,9.9213,9.28504,-2.71187,-0.256876,7.67713,-7.37164,1.9331,
0.8,0.816114,0.817797,9.67388,10.6842,-1.05884,0,9.61057,3.9311,0,9.92213,9.28582,-2.7121,-0.256897,7.67777,-7.37227,1.93326,
0.8,0.816114,0.817797,9.6747,10.6851,-1.05893,0,9.61138,3.93143,0,9.92297,9.2866,-2.71233,-0.256919,7.67842,-7.37289,1.93342,
0.8,0.816114,0.817797,9.67551,10.686,-1.05902,0,9.61219,3.93176,0,9.9238,9.28739,-2.71255,-0.256941,7.67907,-7.37351,1.93358,
0.8,0.816114,0.817797,9.67632,10.6869,-1.05911,0,9.613,3.93209,0,9.92464,9.28817,-2.71278,-0.256962,7.67971,-7.37413,1.93375,
0.8,0.816114,0.817797,9.67714,10.6878,-1.0592,0,9.6138,3.93242,0,9.92547,9.28895,-2.71301,-0.256984,7.68036,-7.37475,1.93391,
0.8,0.816114,0.817797,9.67795,10.6887,-1.05929,0,9.61461,3.93275,0,9.92631,9.28973,-2.71324,-0.257005,7.681,-7.37537,1.93407,
0.8,0.816114,0.817797,9.67877,10.6896,-1.05938,0,9.61542,3.93308,0,9.92714,9.29051,-2.71347,-0.257027,7.68165,-7.37599,1.93424,
0.8,0.816114,0.817797,9.67958,10.6905,-1.05947,0,9.61623,3.93341,0,9.92798,9.29129,-2.71369,-0.257049,7.6823,-7.37661,1.9344,
0.8,0.816114,0.817797,9.68039,10.6914,-1.05956,0,9.61704,3.93374,0,9.92881,9.29207,-2.71392,-0.25707,7.68294,-7.37723,1.93456,
0.8,0.816114,0.817797,9.68121,10.6923,-1.05965,0,9.61785,3.93408,0,9.92965,9.29286,-2.71415,-0.257092,7.68359,-7.37785,1.93472,
0.8,0.816114,0.817797,9.68202,10.6932,-1.05974,0,9.61866,3.93441,0,9.93048,9.29364,-2.71438,-0.257114,7.68424,-7.37847,1.93489,
0.8,0.816114,0.817797,9.68284,10.6941,-1.05982,0,9.61947,3.93474,0,9.93132,9.29442,-2.71461,-0.257135,7.68488,-7.37909,1.93505,
0.8,0.816114,0.817797,9.68365,10.695,-1.05991,0,9.62028,3.93507,0,9.93215,9.2952,-2.71484,-0.257157,7.68553,-7.37971,1.93521,
0.8,0.816114,0.817797,9.68447,10.6959,-1.06,0,9.62108,3.9354,0,9.93299,9.29598,-2.71506,-0.257178,7.68617,-7.38033,1.93537,
0.8,0.816114,0.817797,9.68528,10.6968,-1.06009,0,9.62189,3.93573,0,9.93382,9.29676,-2.71529,-0.2572,7.68682,-7.38095,1.93554,
0.8,0.816114,0.817797,9.68609,10.6977,-1.06018,0,9.6227,3.93606,0,9.93466,9.29755,-2.71552,-0.257222,7.68747,-7.38157,1.9357,
0.8,0.816114,0.817797,9.68691,10.6986,-1.06027,0,9.62351,3.93639,0,9.93549,9.29833,-2.71575,-0.257243,7.68811,-7.38219,1.93586,
0.8,0.816114,0.817797,9.68772,10.6995,-1.06036,0,9.62432,3.93672,0,9.93633,9.29911,-2.71598,-0.257265,7.68876,-7.38281,1.93603,
0.8,0.816114,0.817797,9.68854,10.7004,-1.06045,0,9.62513,3.93705,0,9.93717,9.29989,-2.71621,-0.257287,7.68941,-7.38343,1.93619,
0.8,0.816114,0.817797,9.68935,10.7013,-1.06054,0,9.62594,3.93738,0,9.938,9.30067,-2.71643,-0.257308,7.69005,-7.38406,1.93635,
0.8,0.816114,0.817797,9.69017,10.7022,-1.06063,0,9.62675,3.93771,0,9.93884,9.30145,-2.71666,-0.25733,7.6907,-7.38468,1.93651,
0.8,0.816114,0.817797,9.69098,10.7031,-1.06072,0,9.62756,3.93805,0,9.93967,9.30224,-2.71689,-0.257351,7.69134,-7.3853,1.93668,
0.8,0.816114,0.817797,9.6918,10.704,-1.06081,0,9.62837,3.93838,0,9.94051,9.30302,-2.71712,-0.257373,7.69199,-7.38592,1.93684,
0.8,0.816114,0.817797,9.69261,10.7049,-1.06089,0,9.62917,3.93871,0,9.94134,9.3038,-2.71735,-0.257395,7.69264,-7.38654,1.937,
0.8,0.816114,0.817797,9.69342,10.7058,-1.06098,0,9.62998,3.93904,0,9.94218,9.30458,-2.71758,-0.257416,7.69328,-7.38716,1.93716,
0.8,0.816114,0.817797,9.69424,10.7067,-1.06107,0,9.63079,3.93937,0,9.94301,9.30536,-2.7178,-0.257438,7.69393,-7.38778,1.93733,
0.8,0.816114,0.817797,9.69505,10.7076,-1.06116,0,9.6316,3.9397,0,9.94385,9.30614,-2.71803,-0.257459,7.69458,-7.3884,1.93749,
0.8,0.816114,0.817797,9.69587,10.7085,-1.06125,0,9.63241,3.94003,0,9.94468,9.30692,-2.71826,-0.257481,7.69522,-7.38902,1.93765,
0.8,0.816114,0.817797,9.69668,10.7094,-1.06134,0,9.63322,3.94036,0,9.94552,9.30771,-2.71849,-0.257503,7.69587,-7.38964,1.93782,
0.8,0.816114,0.817797,9.69749,10.7103,-1.06143,0,9.63403,3.94069,0,9.94635,9.30849,-2.71872,-0.257524,7.69651,-7.39026,1.93798,
0.8,0.816114,0.817797,9.69831,10.7112,-1.06152,0,9.63483,3.94102,0,9.94719,9.30927,-2.71895,-0.257546,7.69716,-7.39088,1.93814,
0.8,0.816114,0.817797,9.69912,10.7121,-1.06161,0,9.63564,3.94135,0,9.94802,9.31005,-2.71917,-0.257568,7.69781,-7.3915,1.9383,
0.8,0.816114,0.817797,9.69994,10.713,-1.0617,0,9.63645,3.94169,0,9.94886,9.31083,-2.7194,-0.257589,7.69845,-7.39212,1.93847,
0.8,0.816114,0.817797,9.70075,10.7139,-1.06179,0,9.63726,3.94202,0,9.94969,9.31161,-2.71963,-0.257611,7.6991,-7.39274,1.93863,
