pivot_1,pivot_2,pivot_3,pivot_4,platform_force_x,platform_force_y,platform_force_z,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,tau_c_8,x_platform_x,x_platform_y,x_platform_qz,xd_platform_x,xd_platform_y,xd_platform_qz
3.06854,3.17425,3.11847,2.99421,12.8138,-8.34013,1.50395,1,-1,1,-1,1,-1,1,-1,1.02935e-08,3.23329e-08,8.45909e-08,5.14674e-06,1.61665e-05,4.22955e-05,
3.06854,3.17425,3.11847,2.99421,12.8149,-8.34083,1.50408,1,-1,1,-1,1,-1,1,-1,1.5446e-08,4.85175e-08,1.26934e-07,5.14674e-06,1.61665e-05,4.22955e-05,
3.06854,3.17425,3.11847,2.99421,12.816,-8.34153,1.50421,1,-1,1,-1,1,-1,1,-1,2.05938e-08,6.46874e-08,1.69238e-07,5.14674e-06,1.61665e-05,4.22955e-05,
3.06854,3.17425,3.11847,2.99421,12.8171,-8.34223,1.50433,1,-1,1,-1,1,-1,1,-1,2.57417e-08,8.08573e-08,2.11543e-07,5.14674e-06,1.61665e-05,4.22955e-05,
3.06854,3.17425,3.11847,2.99421,12.8182,-8.34294,1.50446,1,-1,1,-1,1,-1,1,-1,3.08917e-08,9.70339e-08,2.53865e-07,5.14674e-06,1.61665e-05,4.22955e-05,
3.06854,3.17425,3.11847,2.99421,12.8192,-8.34364,1.50459,1,-1,1,-1,1,-1,1,-1,3.60416e-08,1.13211e-07,2.96187e-07,5.14674e-06,1.61665e-05,4.22955e-05,
3.06854,3.17425,3.11847,2.99421,12.8203,-8.34434,1.50471,1,-1,1,-1,1,-1,1,-1,4.1192e-08,1.29388e-07,3.38512e-07,5.14674e-06,1.61665e-05,4.22955e-05,
3.06854,3.17425,3.11847,2.99421,12.8214,-8.34504,1.50484,1,-1,1,-1,1,-1,1,-1,4.63413e-08,1.45563e-07,3.80828e-07,5.14674e-06,1.61665e-05,4.22955e-05,
3.06854,3.17425,3.11847,2.99421,12.8225,-8.34574,1.50497,1,-1,1,-1,1,-1,1,-1,5.14895e-08,1.61734e-07,4.23136e-07,5.14674e-06,1.61665e-05,4.22955e-05,
3.06854,3.17425,3.11847,2.99421,12.8236,-8.34645,1.50509,1,-1,1,-1,1,-1,1,-1,5.66376e-08,1.77905e-07,4.65443e-07,5.14674e-06,1.61665e-05,4.22955e-05,
3.06854,3.17425,3.11847,2.99421,12.8246,-8.34715,1.50522,1,-1,1,-1,1,-1,1,-1,6.17858e-08,1.94076e-07,5.07751e-07,5.14674e-06,1.61665e-05,4.22955e-05,
3.06854,3.17425,3.11847,2.99421,12.8257,-8.34785,1.50535,1,-1,1,-1,1,-1,1,-1,6.69337e-08,2.10246e-07,5.50055e-07,5.14674e-06,1.61665e-05,4.22955e-05,
3.06854,3.17425,3.11847,2.99421,12.8268,-8.34855,1.50547,1,-1,1,-1,1,-1,1,-1,7.20826e-08,2.26419e-07,5.92369e-07,5.14674e-06,1.61665e-05,4.22955e-05,
3.06854,3.17425,3.11847,2.99421,12.8279,-8.34926,1.5056,1,-1,1,-1,1,-1,1,-1,7.72293e-08,2.42586e-07,6.34664e-07,5.14674e-06,1.61665e-05,4.22955e-05,
3.06854,3.17425,3.11847,2.99421,12.8289,-8.34996,1.50573,1,-1,1,-1,1,-1,1,-1,8.23811e-08,2.58768e-07,6.77001e-07,5.14674e-06,1.61665e-05,4.22955e-05,
3.06854,3.17425,3.11847,2.99421,12.83,-8.35066,1.50585,1,-1,1,-1,1,-1,1,-1,8.75311e-08,2.74945e-07,7.19323e-07,5.14674e-06,1.61665e-05,4.22955e-05,
3.06854,3.17425,3.11847,2.99421,12.8311,-8.35136,1.50598,1,-1,1,-1,1,-1,1,-1,9.26793e-08,2.91116e-07,7.61631e-07,5.14674e-06,1.61665e-05,4.22955e-05,
3.06854,3.17425,3.11847,2.99421,12.8322,-8.35206,1.50611,1,-1,1,-1,1,-1,1,-1,9.78282e-08,3.07289e-07,8.03944e-07,5.14674e-06,1.61665e-05,4.22955e-05,
3.06854,3.17425,3.11847,2.99421,12.8333,-8.35277,1.50623,1,-1,1,-1,1,-1,1,-1,1.02976e-07,3.23458e-07,8.46246e-07,5.14674e-06,1.61665e-05,4.22955e-05,
3.06854,3.17425,3.11847,2.99421,12.8343,-8.35347,1.50636,1,-1,1,-1,1,-1,1,-1,1.08123e-07,3.39628e-07,8.8855e-07,5.14674e-06,1.61665e-05,4.22955e-05,
3.06854,3.17425,3.11847,2.99421,12.8354,-8.35417,1.50649,1,-1,1,-1,1,-1,1,-1,1.13274e-07,3.55805e-07,9.30875e-07,5.14674e-06,1.61665e-05,4.22955e-05,
3.06854,3.17425,3.11847,2.99421,12.8365,-8.35487,1.50661,1,-1,1,-1,1,-1,1,-1,1.18426e-07,3.7199e-07,9.73218e-07,5.14674e-06,1.61665e-05,4.22955e-05,
3.06854,3.17425,3.11847,2.99421,12.8376,-8.35558,1.50674,1,-1,1,-1,1,-1,1,-1,1.23578e-07,3.88171e-07,1.01555e-06,5.14674e-06,1.61665e-05,4.22955e-05,
3.06854,3.17425,3.11847,2.99421,12.8387,-8.35628,1.50687,1,-1,1,-1,1,-1,1,-1,1.28727e-07,4.04345e-07,1.05787e-06,5.14674e-06,1.61665e-05,4.22955e-05,
3.06854,3.17425,3.11847,2.99421,12.8397,-8.35698,1.50699,1,-1,1,-1,1,-1,1,-1,1.33877e-07,4.20521e-07,1.10019e-06,5.14674e-06,1.61665e-05,4.22955e-05,
3.06854,3.17425,3.11847,2.99421,12.8408,-8.35768,1.50712,1,-1,1,-1,1,-1,1,-1,1.39024e-07,4.3669e-07,1.14249e-06,5.14674e-06,1.61665e-05,4.22955e-05,
3.06854,3.17425,3.11847,2.99421,12.8419,-8.35839,1.50725,1,-1,1,-1,1,-1,1,-1,1.44175e-07,4.52869e-07,1.18482e-06,5.14674e-06,1.61665e-05,4.22955e-05,
3.06854,3.17425,3.11847,2.99421,12.843,-8.35909,1.50737,1,-1,1,-1,1,-1,1,-1,1.49322e-07,4.69038e-07,1.22712e-06,5.14674e-06,1.61665e-05,4.22955e-05,
3.06854,3.17425,3.11847,2.99421,12.8441,-8.35979,1.5075,1,-1,1,-1,1,-1,1,-1,1.54473e-07,4.85217e-07,1.26945e-06,5.14674e-06,1.61665e-05,4.22955e-05,
3.06854,3.17425,3.11847,2.99421,12.8451,-8.36049,1.50763,1,-1,1,-1,1,-1,1,-1,1.59626e-07,5.01405e-07,1.3118e-06,5.14674e-06,1.61665e-05,4.22955e-05,
3.06854,3.17425,3.11847,2.99421,12.8462,-8.3612,1.50775,1,-1,1,-1,1,-1,1,-1,1.64779e-07,5.17589e-07,1.35414e-06,5.14674e-06,1.61665e-05,4.22955e-05,
3.06854,3.17425,3.11847,2.99421,12.8473,-8.3619,1.50788,1,-1,1,-1,1,-1,1,-1,1.69926e-07,5.33758e-07,1.39644e-06,5.14674e-06,1.61665e-05,4.22955e-05,
