ee_s_x,ee_s_y,ee_s_z,ee_s_qx,ee_s_qy,ee_s_qz,ee_s_qw,ee_twist_x,ee_twist_y,ee_twist_z,ee_twist_qx,ee_twist_qy,ee_twist_qz,elbow_s_x,elbow_s_y,elbow_s_z,elbow_s_qx,elbow_s_qy,elbow_s_qz,elbow_s_qw,arm_base_s_x,arm_base_s_y,arm_base_s_z,arm_base_s_qx,arm_base_s_qy,arm_base_s_qz,arm_base_s_qw,ee_f_e_x, ee_f_e_y, ee_f_e_z, ee_f_e_qx, ee_f_e_qy, ee_f_e_qz,ee_beta_x,ee_beta_y,ee_beta_z,ee_beta_qx,ee_beta_qy,ee_beta_qz,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,ee_f_c_x,ee_f_c_y,ee_f_c_z,ee_f_c_qx,ee_f_c_qy,ee_f_c_qz,elbow_f_c_x,elbow_f_c_y,elbow_f_c_z,elbow_f_c_qx,elbow_f_c_qy,elbow_f_c_qz
0.384298,0.101019,0.715557,0.569211,0.454728,-0.483916,-0.484817,0.000401063,0.000423978,0.00131377,0.00245864,0.00898317,-0.00262587,0.42497,0.384858,0.648639,0.246045,0.964789,-0.0744903,-0.055632,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,-0.0694555,-0.143287,-0.158656,-0.741929,0.198046,9.62308,-17.0337,6.71289,-28.9354,0.285205,17.5122,5.17798,17.9249,9.61622,-110.611,0,0,0,0,0,15.4082,0,0,0,
0.384299,0.10102,0.71556,0.569207,0.454724,-0.483918,-0.484822,0.000433064,0.000506938,0.00143596,0.00212561,0.00846872,-0.00234652,0.42497,0.38486,0.648643,0.246043,0.96479,-0.0744944,-0.0556248,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,-0.073044,-0.199461,-0.149581,-0.681346,0.118239,9.52957,-17.0703,6.63354,-28.9238,0.291094,17.5288,5.19539,17.9283,9.61536,-110.629,0,0,0,0,0,15.4071,0,0,0,
0.384299,0.101021,0.715562,0.569206,0.454721,-0.483919,-0.484825,0.000432865,0.000525485,0.00142836,0.00190284,0.00791075,-0.00226051,0.42497,0.384861,0.648645,0.246042,0.96479,-0.0744963,-0.0556213,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,-0.0212349,-0.0732549,-0.0255425,-0.203784,0.237588,9.83105,-17.1216,6.95777,-28.9057,0.399598,17.4982,5.15251,17.9516,9.6265,-110.771,0,0,0,0,0,15.4066,0,0,0,
0.3843,0.101021,0.715565,0.569204,0.454717,-0.48392,-0.48483,0.000415982,0.00056349,0.00174823,0.000632163,0.00563993,-0.0019611,0.42497,0.384862,0.648648,0.246041,0.964791,-0.0745,-0.0556145,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,-0.0315375,-0.124898,-0.0827477,-0.310549,0.193227,9.71854,-17.1356,6.84888,-28.9138,0.372267,17.5145,5.17568,17.9534,9.62504,-110.778,0,0,0,0,0,15.4056,0,0,0,
0.384296,0.101021,0.715571,0.569206,0.454721,-0.483912,-0.484833,0.000218473,0.000881269,0.0053405,-0.00919976,-0.00889965,0.000351937,0.424972,0.38486,0.648653,0.246048,0.964789,-0.0745,-0.0556073,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,0.144695,-0.282491,-0.405944,0.416355,0.762822,9.51126,-17.6555,6.80287,-28.9473,0.469888,17.4245,5.32482,18.0476,9.67545,-111.354,0,0,0,0,0,15.404,0,0,0,
0.384296,0.10102,0.715573,0.569205,0.454728,-0.483907,-0.484832,0.000159583,0.000957463,0.00640679,-0.0124257,-0.0142927,0.00138149,0.424972,0.38486,0.648657,0.246048,0.964789,-0.0744975,-0.0556043,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,-0.0123974,-0.113571,-0.357418,0.363251,-0.845014,9.79923,-17.3759,7.03569,-28.5958,0.525665,17.7102,5.28866,17.97,9.63503,-110.878,0,0,0,0,0,15.403,0,0,0,
0.384311,0.101022,0.715571,0.56919,0.454747,-0.483904,-0.484835,0.000626546,0.000925228,0.00348309,-0.0038409,-0.00752818,0.000875119,0.42497,0.384869,0.648663,0.246019,0.964798,-0.0744859,-0.055603,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,-0.14983,0.0796992,-1.33149,0.209175,-4.07588,10.0407,-17.2577,7.27386,-27.3441,0.566364,18.0961,5.48203,17.6536,9.46846,-108.945,0,0,0,0,0,15.4012,0,0,0,
0.384328,0.101026,0.715567,0.569174,0.454762,-0.483907,-0.484836,0.00158312,0.000833341,-0.00202228,0.0146008,0.000135399,0.000656443,0.424967,0.384882,0.648665,0.245982,0.964808,-0.0744766,-0.0556056,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,-0.250506,0.237891,-0.956341,-0.161541,-2.36251,10.3295,-16.4566,7.39429,-27.89,0.465014,17.6935,5.28857,17.5765,9.42949,-108.489,0,0,0,0,0,15.4006,0,0,0,
0.384391,0.101041,0.715555,0.56913,0.454808,-0.483928,-0.484823,0.0353432,0.0091084,-0.00525267,0.0358114,-0.00132842,0.0714635,0.424957,0.384926,0.648669,0.245854,0.964842,-0.0744568,-0.0556125,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,-0.80956,0.555888,-1.69095,-0.355571,-11.2262,10.7822,-15.6947,7.66392,-24.6917,0.63042,18.7331,5.43783,16.6635,8.94749,-102.922,0,0,0,0,0,15.3994,0,0,0,
0.384431,0.10105,0.71555,0.569108,0.454833,-0.483942,-0.484812,0.0402559,0.00966696,-0.00461713,0.0343201,-0.000481338,0.0804134,0.42495,0.384953,0.64867,0.245773,0.964863,-0.0744496,-0.055615,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,-0.440827,0.237094,-0.718622,-0.088312,-7.11463,10.3283,-16.473,7.30703,-26.0178,0.581575,18.2405,5.28013,17.0798,9.17551,-105.532,0,0,0,0,0,15.3989,0,0,0,
