ee_s_x,ee_s_y,ee_s_z,ee_s_qx,ee_s_qy,ee_s_qz,ee_s_qw,ee_twist_x,ee_twist_y,ee_twist_z,ee_twist_qx,ee_twist_qy,ee_twist_qz,elbow_s_x,elbow_s_y,elbow_s_z,elbow_s_qx,elbow_s_qy,elbow_s_qz,elbow_s_qw,arm_base_s_x,arm_base_s_y,arm_base_s_z,arm_base_s_qx,arm_base_s_qy,arm_base_s_qz,arm_base_s_qw,ee_f_e_x, ee_f_e_y, ee_f_e_z, ee_f_e_qx, ee_f_e_qy, ee_f_e_qz,ee_beta_x,ee_beta_y,ee_beta_z,ee_beta_qx,ee_beta_qy,ee_beta_qz,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,ee_f_c_x,ee_f_c_y,ee_f_c_z,ee_f_c_qx,ee_f_c_qy,ee_f_c_qz,elbow_f_c_x,elbow_f_c_y,elbow_f_c_z,elbow_f_c_qx,elbow_f_c_qy,elbow_f_c_qz
0.399379,-0.187677,0.703507,0.504416,0.5415,-0.455771,-0.494585,0.000192023,-0.000792362,-0.000457959,0.000836524,0.00849097,0.00168408,0.386748,-0.484832,0.733582,0.985794,0.148869,-0.0102798,0.0770865,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,0.140317,0.0797132,-0.11972,-1.00165,-0.148928,-6.33302,-4.21351,-7.66962,23.6554,-0.199213,-13.3847,-0.399801,-15.3222,11.3543,-78.9207,0,0,0,0,0,-10.0746,0,0,0,
0.399379,-0.187678,0.703507,0.504414,0.541498,-0.455773,-0.494588,0.000258974,-0.00103349,-0.000651462,0.00102308,0.00883348,0.00091368,0.386747,-0.484834,0.733581,0.985795,0.148867,-0.01028,0.0770845,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,0.0809913,0.0455644,-0.0699419,-0.509092,-0.194223,-6.42215,-4.42483,-7.70215,23.5937,-0.27763,-13.4047,-0.409088,-15.3437,11.3694,-79.0304,0,0,0,0,0,-10.0743,0,0,0,
0.399379,-0.18768,0.703505,0.50441,0.541494,-0.455777,-0.494594,0.000319332,-0.00124008,-0.000816384,0.00115045,0.00912717,1.10642e-05,0.386745,-0.484837,0.733579,0.985795,0.148863,-0.0102808,0.0770806,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,0.118002,0.0797234,-0.0758748,-0.77184,0.0617619,-6.42045,-4.36199,-7.70859,23.5659,-0.230331,-13.4487,-0.402868,-15.3362,11.3625,-78.9913,0,0,0,0,0,-10.0736,0,0,0,
0.39938,-0.187683,0.703503,0.504406,0.541489,-0.45578,-0.494599,0.000290422,-0.0012008,-0.000879497,0.000718082,0.00925746,-0.000739968,0.386744,-0.484841,0.733577,0.985796,0.148861,-0.0102813,0.077077,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,0.0987495,0.0623455,-0.056004,-0.666278,0.0154936,-6.42657,-4.42831,-7.69683,23.5713,-0.246505,-13.4532,-0.409931,-15.3511,11.3722,-79.068,0,0,0,0,0,-10.073,0,0,0,
0.399378,-0.187683,0.703502,0.504405,0.541487,-0.455784,-0.494599,8.01524e-05,-0.000856276,-0.00108953,-0.000620276,0.00850847,-0.000417693,0.386744,-0.484841,0.733576,0.985796,0.148864,-0.0102825,0.0770766,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,0.126128,0.0518189,0.237741,-0.261271,0.224577,-6.45643,-4.40896,-7.76955,23.6388,-0.326085,-13.5574,-0.503011,-15.4063,11.4127,-79.351,0,0,0,0,0,-10.0727,0,0,0,
0.399374,-0.187681,0.703497,0.504407,0.541482,-0.455797,-0.494591,-0.000538682,0.000344382,-0.00181146,-0.00472765,0.00510872,0.00236523,0.386745,-0.484838,0.733573,0.985794,0.148873,-0.0102894,0.0770805,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,-0.12409,0.234509,1.24537,-0.368031,-1.31616,-6.87769,-4.78208,-8.08931,23.7711,-0.360803,-13.2321,-0.62773,-15.4638,11.4551,-79.6426,0,0,0,0,0,-10.072,0,0,0,
0.399375,-0.187681,0.703492,0.504407,0.541476,-0.455804,-0.49459,-0.000581513,0.000506919,-0.00463626,-0.00981483,0.00979388,0.00390799,0.386745,-0.484839,0.73357,0.985794,0.14887,-0.0102951,0.0770818,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,-0.0466535,0.230575,0.70698,-0.498641,-2.53789,-6.63244,-4.04469,-8.08629,24.0671,-0.388323,-12.8547,-0.524407,-15.3297,11.3558,-78.9525,0,0,0,0,0,-10.071,0,0,0,
0.39939,-0.187685,0.70348,0.504409,0.541457,-0.455815,-0.494599,0.00142685,-0.00171876,-0.0040444,-0.0036929,0.0113519,-0.0015511,0.386741,-0.484848,0.733559,0.985799,0.148838,-0.010309,0.0770785,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,0.191565,0.640303,0.998685,-1.80546,0.423486,-7.11066,-3.82609,-8.55581,22.9553,-0.0989717,-13.1588,-0.431798,-14.9576,11.0803,-77.0438,0,0,0,0,0,-10.0676,0,0,0,
0.399428,-0.1877,0.703463,0.504412,0.54143,-0.455808,-0.494632,0.020671,-0.00797845,-0.00805809,0.00748789,0.0238973,-0.0351239,0.386729,-0.484872,0.733536,0.985812,0.148757,-0.010328,0.0770612,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,0.700212,0.814091,-0.536398,-2.40507,-1.37609,-6.50321,-1.04705,-8.85431,23.4798,-0.1409,-12.3178,-0.127877,-14.3997,10.6682,-74.1927,0,0,0,0,0,-10.0608,0,0,0,
0.399452,-0.187709,0.703453,0.504414,0.541415,-0.455802,-0.494653,0.0242137,-0.00907446,-0.00902702,0.00795541,0.0262228,-0.0439773,0.386722,-0.484887,0.733522,0.985821,0.148706,-0.0103387,0.0770501,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,0.534158,0.49345,-0.622902,-1.4283,-0.813033,-6.39415,-2.0857,-8.4221,23.5296,-0.240748,-12.7335,-0.199363,-14.7087,10.8981,-75.7999,0,0,0,0,0,-10.0567,0,0,0,
