pivot_1,pivot_2,pivot_3,pivot_4,platform_force_x,platform_force_y,platform_force_z,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,tau_c_8,x_platform_x,x_platform_y,x_platform_qz,xd_platform_x,xd_platform_y,xd_platform_qz
6.22626,0.237803,0.179679,6.20894,9706.32,-716.481,123.991,0,0,0.77934,0.77934,0.633668,0.633668,0,0,-5.81307e-08,-4.0168e-09,6.02997e-17,-2.90653e-05,-2.0084e-06,-7.76529e-06,
6.22626,0.237803,0.179679,6.20894,-191.961,10.6394,0,7.85213,7.85213,-7.12275,-7.12275,-7.26813,-7.26813,7.80883,7.80883,-9.59719e-08,-6.63161e-09,1.0221e-16,-2.90653e-05,-2.0084e-06,-7.76529e-06,
6.22626,0.237803,0.179679,6.20894,-192.091,10.6593,0,7.85417,7.85417,-7.12428,-7.12428,-7.26969,-7.26969,7.81085,7.81085,-1.30563e-07,-9.02184e-09,8.54074e-17,-2.90653e-05,-2.0084e-06,-7.76529e-06,
6.22626,0.237803,0.179679,6.20892,-192.195,10.6468,0,7.85662,7.85662,-7.12696,-7.12696,-7.27242,-7.27242,7.81323,7.81323,-3.1582e-07,-2.62032e-09,3.4874e-13,-0.000108216,3.7394e-06,0.00034496,
6.22627,0.237815,0.179679,6.20894,-192.279,10.6611,0,7.85988,7.85988,-7.12962,-7.12962,-7.27517,-7.27517,7.81651,7.81651,-4.53709e-07,7.1828e-08,1.56701e-11,-6.96174e-05,3.75875e-05,-0.0019986,
6.22699,0.237324,0.179092,6.20964,-193.15,10.6926,0,7.86377,7.86377,-7.13316,-7.13316,-7.27899,-7.27899,7.82032,7.82032,-8.88521e-06,-1.93163e-06,1.24803e-08,-0.00573362,-0.0013624,-0.0759692,
6.22692,0.236808,0.178829,6.21038,-192.962,10.7654,0,7.86723,7.86723,-7.1357,-7.1357,-7.28095,-7.28095,7.82581,7.82581,-1.73101e-05,-1.45939e-06,2.94832e-08,-0.00515808,0.000289125,-0.105134,
6.22527,0.23833,0.180279,6.20794,-190.302,10.7087,0,7.86667,7.86667,-7.13285,-7.13285,-7.27832,-7.27832,7.82325,7.82325,-2.29261e-05,-6.63114e-07,2.40764e-08,-0.00372148,0.000527655,-0.10284,
6.22238,0.242081,0.182879,6.20421,-187.911,10.3666,0,7.85905,7.85905,-7.12835,-7.12835,-7.27675,-7.27675,7.81352,7.81352,-2.63672e-05,1.89033e-07,1.92514e-08,-0.0022953,0.000568412,-0.0925669,
6.21851,0.245796,0.186534,6.20051,-179.378,10.0405,0,7.85386,7.85386,-7.1193,-7.1193,-7.26789,-7.26789,7.80873,7.80873,-2.99421e-05,1.23765e-06,1.78261e-08,-0.00225964,0.000662812,-0.0844043,
6.21416,0.25192,0.191939,6.19492,-183.649,10.2426,0,7.8448,7.8448,-7.1066,-7.1066,-7.25703,-7.25703,7.79658,7.79658,-4.17649e-05,4.91261e-07,2.51189e-08,-0.00795442,-0.000502173,-0.106644,
6.20959,0.256774,0.196086,6.18971,-178.018,9.98194,0,7.83701,7.83701,-7.09632,-7.09632,-7.24857,-7.24857,7.78715,7.78715,-5.97824e-05,-5.59693e-07,7.10531e-08,-0.00980997,-0.000572213,-0.145146,
6.20233,0.264096,0.202833,6.18188,-175.784,9.91771,0,7.82225,7.82225,-7.07944,-7.07944,-7.23318,-7.23318,7.77096,7.77096,-8.15703e-05,-2.46384e-07,8.52633e-08,-0.0134094,0.000192828,-0.179755,
6.19623,0.272234,0.209209,6.17478,-180.28,9.92819,0,7.80586,7.80586,-7.06447,-7.06447,-7.22267,-7.22267,7.75205,7.75205,-0.000105754,4.35319e-07,7.62336e-08,-0.016868,0.000475477,-0.192637,
6.18992,0.279784,0.215656,6.1679,-172.654,10.3835,0,7.80496,7.80496,-7.03497,-7.03497,-7.19596,-7.19596,7.74969,7.74969,-0.000133923,1.70049e-06,8.65815e-08,-0.0196925,0.000884459,-0.205757,
6.18289,0.287969,0.222487,6.16051,-176.266,9.19154,0,7.76991,7.76991,-7.03666,-7.03666,-7.20109,-7.20109,7.71376,7.71376,-0.000171937,2.62093e-06,1.22428e-07,-0.0238895,0.000578453,-0.219947,
6.17473,0.296969,0.231619,6.1511,-168.619,9.42383,0,7.76132,7.76132,-7.00707,-7.00707,-7.17123,-7.17123,7.702,7.702,-0.000221083,1.96619e-06,1.48865e-07,-0.0305292,-0.000406721,-0.239752,
6.16659,0.306353,0.23996,6.14196,-178.844,9.8623,0,7.74135,7.74135,-6.98747,-6.98747,-7.15428,-7.15428,7.67953,7.67953,-0.000273008,1.17646e-06,1.42223e-07,-0.035975,-0.000547135,-0.261385,
