dist_sp,kl_bl_base_dist,kr_bl_base_dist,kl_bl_base_f_mag,kr_bl_base_f_mag,kl_bl_base_f_dir_x,kl_bl_base_f_dir_y,kl_bl_base_f_dir_z,kr_bl_base_f_dir_x,kr_bl_base_f_dir_y,kr_bl_base_f_dir_z,kl_bl_base_f_at_base_x,kl_bl_base_f_at_base_y,kl_bl_base_f_at_base_mz,kr_bl_base_f_at_base_x,kr_bl_base_f_at_base_y,kr_bl_base_f_at_base_mz
0.75,0.564167,0.589387,-112.465,-81.1921,17.9249,9.61622,-110.611,-15.3222,11.3543,-78.9207,-112.288,-4.20199,9.72845,-79.673,14.8414,-9.02542,
0.75,0.564167,0.589387,-112.484,-81.305,17.9283,9.61536,-110.629,-15.3437,11.3694,-79.0304,-112.307,-4.2029,9.73011,-79.7837,14.8622,-9.03799,
0.75,0.564168,0.589389,-112.628,-81.2646,17.9516,9.6265,-110.771,-15.3362,11.3625,-78.9913,-112.451,-4.20836,9.74256,-79.7441,14.8551,-9.03355,
0.75,0.564168,0.589389,-112.635,-81.3433,17.9534,9.62504,-110.778,-15.3511,11.3722,-79.068,-112.458,-4.20877,9.74321,-79.8212,14.8698,-9.04235,
0.75,0.564164,0.589388,-113.222,-81.6344,18.0476,9.67545,-111.354,-15.4063,11.4127,-79.351,-113.044,-4.23058,9.79393,-80.1069,14.9231,-9.07473,
0.75,0.564164,0.589384,-112.738,-81.9346,17.97,9.63503,-110.878,-15.4638,11.4551,-79.6426,-112.56,-4.21245,9.75206,-80.4014,14.9778,-9.10806,
0.75,0.564179,0.589385,-110.772,-81.2247,17.6536,9.46846,-108.945,-15.3297,11.3558,-78.9525,-110.598,-4.13929,9.58207,-79.7047,14.848,-9.02913,
0.75,0.564197,0.589402,-110.307,-79.2607,17.5765,9.42949,-108.489,-14.9576,11.0803,-77.0438,-110.134,-4.12254,9.54199,-77.7774,14.4892,-8.81083,
0.75,0.564261,0.589442,-104.645,-76.3264,16.6635,8.94749,-102.922,-14.3997,10.6682,-74.1927,-104.48,-3.91323,9.05259,-74.8976,13.9537,-8.48479,
0.75,0.564301,0.589468,-107.299,-77.9791,17.0798,9.17551,-105.532,-14.7087,10.8981,-75.7999,-107.13,-4.01385,9.28238,-76.5193,14.2564,-8.6686,
0.75,0.564383,0.589519,-103.758,-75.8436,16.5004,8.8743,-102.052,-14.3001,10.5972,-73.7256,-103.594,-3.88545,8.97678,-74.4234,13.8674,-8.43143,
