pivot_1,pivot_2,pivot_3,pivot_4,pf_x,pf_y,pf_z,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,tau_c_8,f_drive_ref_1,f_drive_ref_2,f_drive_ref_3,f_drive_ref_4,f_drive_ref_5,f_drive_ref_6,f_drive_ref_7,f_drive_ref_8,f_krnl_1,f_krnl_2,f_krnl_3,f_krnl_4,f_krnl_5,f_krnl_6,f_krnl_7,f_krnl_8,f_null_1,f_null_2,f_null_3,f_null_4,f_null_5,f_null_6,f_null_7,f_null_8,f_null_scale_factor,f_null_scaled_1,f_null_scaled_2,f_null_scaled_3,f_null_scaled_4,f_null_scaled_5,f_null_scaled_6,f_null_scaled_7,f_null_scaled_8,f_drv_1,f_drv_2,f_drv_3,f_drv_4,f_drv_5,f_drv_6,f_drv_7,f_drv_8,f_wheel_1,f_wheel_2,f_wheel_3,f_wheel_4,f_wheel_5,f_wheel_6,f_wheel_7,f_wheel_8
4.57874,4.68525,4.95382,5.05706,0,-200,0,-2.54208,0.307283,-1.66857,1.20537,-0.776688,2.01493,-0.224242,2.48167,0,147.013,0,29.8583,0,-265.578,0,-379.133,49.5541,6.66252,49.9816,1.35703,48.5498,-11.9548,47.0594,-16.8941,-158.835,118.904,55.3248,24.6643,107.665,-59.0554,-75.2314,-111.712,1.21059,6.95329e-310,143.943,5.48672e-310,29.8583,1.4822e-323,-71.4917,4.94066e-324,-135.237,49.5541,150.606,49.9816,31.2154,48.5498,-83.4465,47.0594,-152.131,-44.2101,5.34406,-29.0186,20.963,-13.5076,35.0422,-3.89987,43.1595,
4.57874,4.68525,4.95382,5.05706,0,-200,0,-2.54208,0.307283,-1.66857,1.20537,-0.776688,2.01493,-0.224242,2.48167,0,147.013,0,29.8583,0,-265.578,0,-379.133,49.5541,6.66252,49.9816,1.35703,48.5498,-11.9548,47.0594,-16.8941,-158.835,118.904,55.3248,24.6643,107.665,-59.0554,-75.2314,-111.712,1.21059,6.95329e-310,143.943,5.48672e-310,29.8583,1.4822e-323,-71.4917,4.94066e-324,-135.237,49.5541,150.606,49.9816,31.2154,48.5498,-83.4465,47.0594,-152.131,-44.2101,5.34406,-29.0186,20.963,-13.5076,35.0422,-3.89987,43.1595,
4.57874,4.68525,4.95382,5.05706,0,-200,0,-2.54208,0.307283,-1.66857,1.20537,-0.776688,2.01493,-0.224242,2.48167,0,147.013,0,29.8583,0,-265.578,0,-379.133,49.5541,6.66252,49.9816,1.35703,48.5498,-11.9548,47.0594,-16.8941,-158.835,118.904,55.3248,24.6643,107.665,-59.0554,-75.2314,-111.712,1.21059,6.95329e-310,143.943,5.48672e-310,29.8583,1.4822e-323,-71.4917,4.94066e-324,-135.237,49.5541,150.606,49.9816,31.2154,48.5498,-83.4465,47.0594,-152.131,-44.2101,5.34406,-29.0186,20.963,-13.5076,35.0422,-3.89987,43.1595,
4.57874,4.68525,4.95382,5.05706,0,-200,0,-2.54208,0.307283,-1.66857,1.20537,-0.776688,2.01493,-0.224242,2.48167,0,147.013,0,29.8583,0,-265.578,0,-379.133,49.5541,6.66252,49.9816,1.35703,48.5498,-11.9548,47.0594,-16.8941,-158.835,118.904,55.3248,24.6643,107.665,-59.0554,-75.2314,-111.712,1.21059,6.95329e-310,143.943,5.48672e-310,29.8583,1.4822e-323,-71.4917,4.94066e-324,-135.237,49.5541,150.606,49.9816,31.2154,48.5498,-83.4465,47.0594,-152.131,-44.2101,5.34406,-29.0186,20.963,-13.5076,35.0422,-3.89987,43.1595,
4.57873,4.68523,4.95382,5.05706,0,-200,0,-2.5424,0.306957,-1.66867,1.20527,-0.7765,2.01511,-0.223935,2.48198,0,147.026,0,29.872,0,-265.578,0,-379.133,49.554,6.66311,49.9816,1.35765,48.5498,-11.9548,47.0594,-16.8941,-158.838,118.904,55.3277,24.6682,107.667,-59.0586,-75.2367,-111.713,1.21095,6.95329e-310,143.986,5.48672e-310,29.872,1.4822e-323,-71.517,4.94066e-324,-135.279,49.554,150.65,49.9816,31.2296,48.5498,-83.4717,47.0594,-152.173,-44.2157,5.33838,-29.0204,20.9612,-13.5044,35.0454,-3.89452,43.1649,
4.57873,4.68523,4.95384,5.05706,0,-200,0,-2.54232,0.307036,-1.66867,1.20527,-0.776442,2.01516,-0.224066,2.48185,0,147.026,0,29.872,0,-265.591,0,-379.133,49.554,6.66311,49.9816,1.35765,48.5497,-11.9554,47.0594,-16.8941,-158.84,118.906,55.3269,24.6705,107.669,-59.0695,-75.2376,-111.708,1.21084,6.95329e-310,143.976,5.48672e-310,29.872,1.4822e-323,-71.5237,4.94066e-324,-135.261,49.554,150.639,49.9816,31.2296,48.5497,-83.4791,47.0594,-152.155,-44.2143,5.33975,-29.0204,20.9612,-13.5033,35.0463,-3.8968,43.1626,
4.57874,4.68522,4.95385,5.05706,0,-200,0,-2.542,0.307359,-1.66877,1.20516,-0.776451,2.01515,-0.22432,2.4816,0,147.013,0,29.8851,0,-265.604,0,-379.133,49.5541,6.66252,49.9815,1.35825,48.5495,-11.9559,47.0594,-16.8941,-158.842,118.897,55.3263,24.6868,107.672,-59.0806,-75.2376,-111.705,1.21057,6.95329e-310,143.933,5.48672e-310,29.8851,1.4822e-323,-71.5213,4.94066e-324,-135.227,49.5541,150.596,49.9815,31.2433,48.5495,-83.4772,47.0594,-152.121,-44.2087,5.34538,-29.0222,20.9594,-13.5035,35.046,-3.90122,43.1582,
4.57873,4.68523,4.9539,5.05716,0,-200,0,-2.54184,0.30752,-1.66867,1.20527,-0.776601,2.01496,-0.224204,2.48161,0,147.026,0,29.872,0,-265.657,0,-379.252,49.554,6.66311,49.9816,1.35765,48.5489,-11.9583,47.0576,-16.8992,-158.894,118.911,55.3243,24.6827,107.695,-59.0764,-75.2357,-111.738,1.21024,6.95329e-310,143.91,5.48672e-310,29.872,1.4822e-323,-71.4965,4.94066e-324,-135.23,49.554,150.574,49.9816,31.2296,48.5489,-83.4548,47.0576,-152.129,-44.2059,5.34817,-29.0204,20.9612,-13.5061,35.0428,-3.89921,43.1584,
4.57862,4.68526,4.95397,5.05735,0,-200,0,-2.54366,0.305654,-1.66847,1.20547,-0.776032,2.01548,-0.222316,2.48331,0,147.144,0,29.8452,0,-265.736,0,-379.463,49.5533,6.66845,49.9816,1.35643,48.5481,-11.9618,47.0543,-16.9082,-158.996,118.976,55.3303,24.6324,107.74,-59.0665,-75.253,-111.803,1.21163,6.95329e-310,144.154,5.48672e-310,29.8452,1.4822e-323,-71.5665,4.94066e-324,-135.463,49.5533,150.822,49.9816,31.2017,48.5481,-83.5282,47.0543,-152.371,-44.2376,5.31572,-29.0168,20.9648,-13.4962,35.0519,-3.86636,43.188,
4.57862,4.68521,4.95391,5.05739,0,-200,0,-2.54417,0.305148,-1.66888,1.20506,-0.776228,2.01533,-0.221156,2.48443,0,147.144,0,29.8982,0,-265.67,0,-379.502,49.5533,6.66845,49.9815,1.35884,48.5488,-11.9588,47.0537,-16.9099,-159.001,118.944,55.3414,24.658,107.735,-59.0059,-75.2551,-111.846,1.21252,6.95329e-310,144.222,5.48672e-310,29.8982,1.4822e-323,-71.5457,4.94066e-324,-135.615,49.5533,150.89,49.9815,31.257,48.5488,-83.5045,47.0537,-152.525,-44.2464,5.30692,-29.0239,20.9576,-13.4996,35.0492,-3.84619,43.2076,
